ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
10,baseline forecasts    Forecast of security returns derived from the assumption that the market is in equilibrium where current prices reflect all available information.,baseline forecasts,,,Forecast of security returns derived from the assumption that the market is in equilibrium where current prices reflect all available information.,2013_Bodie.Kane.Marcus_Investments
11,basis    The difference between the futures price and the spot price.,basis,,,The difference between the futures price and the spot price.,2013_Bodie.Kane.Marcus_Investments
12,basis risk    Risk attributable to uncertain movements in the spread between a futures price and a spot price.,basis risk,,,Risk attributable to uncertain movements in the spread between a futures price and a spot price.,2013_Bodie.Kane.Marcus_Investments
13,behavioral finance    Models of financial markets that emphasize implications of psychological factors affecting investor behavior.,behavioral finance,,,Models of financial markets that emphasize implications of psychological factors affecting investor behavior.,2013_Bodie.Kane.Marcus_Investments
14,benchmark error    Use of an inappropriate proxy for the true market portfolio.,benchmark error,,,Use of an inappropriate proxy for the true market portfolio.,2013_Bodie.Kane.Marcus_Investments
15,benchmark portfolio    Portfolio against which a manager is to be evaluated.,benchmark portfolio,,,Portfolio against which a manager is to be evaluated.,2013_Bodie.Kane.Marcus_Investments
16,beta    The measure of the systematic risk of a security. The tendency of a security's returns to respond to swings in the broad market.,beta,,,The measure of the systematic risk of a security. The tendency of a security's returns to respond to swings in the broad market.,2013_Bodie.Kane.Marcus_Investments
17,A    abnormal return    Return on a stock beyond what would be predicted by market movements alone. Cumulative abnor-mal return (CAR) is the total abnormal return for the period surrounding an announcement or the release of information.,abnormal return,,,Return on a stock beyond what would be predicted by market movements alone. Cumulative abnor-mal return (CAR) is the total abnormal return for the period surrounding an announcement or the release of information.,2013_Bodie.Kane.Marcus_Investments
18,accounting earnings    Earnings of a firm as reported on its income statement.,accounting earnings,,,Earnings of a firm as reported on its income statement.,2013_Bodie.Kane.Marcus_Investments
19,acid test ratio    See quick ratio.,acid test ratio,,,See quick ratio.,2013_Bodie.Kane.Marcus_Investments
20,"active management    Attempts to achieve portfolio returns more than commensurate with risk, either by forecasting broad market trends or by identifying particular mispriced sectors of a market or securities in a market.",active management,,,"Attempts to achieve portfolio returns more than commensurate with risk, either by forecasting broad market trends or by identifying particular mispriced sectors of a market or securities in a market.",2013_Bodie.Kane.Marcus_Investments
21,"active portfolio    In the context of the Treynor-Black model, the portfolio formed by mixing analyzed stocks of perceived nonzero alpha values. This portfolio is ultimately mixed with the passive market-index portfolio.",active portfolio,,,"In the context of the Treynor-Black model, the portfolio formed by mixing analyzed stocks of perceived nonzero alpha values. This portfolio is ultimately mixed with the passive market-index portfolio.",2013_Bodie.Kane.Marcus_Investments
22,adjusted alphas    Forecasts for alpha that are modulated to account for statistical imprecision in the analyst's estimate.,adjusted alphas,,,Forecasts for alpha that are modulated to account for statistical imprecision in the analyst's estimate.,2013_Bodie.Kane.Marcus_Investments
23,"agency problem    Conflicts of interest among stockholders, bondholders, and managers.",agency problem,,,"Conflicts of interest among stockholders, bondholders, and managers.",2013_Bodie.Kane.Marcus_Investments
24,algorithmic trading    The use of computer programs to make trading decisions.,algorithmic trading,,,The use of computer programs to make trading decisions.,2013_Bodie.Kane.Marcus_Investments
25,alpha    The abnormal rate of return on a security in excess of what would be predicted by an equilibrium model like CAPM or APT.,alpha,,,The abnormal rate of return on a security in excess of what would be predicted by an equilibrium model like CAPM or APT.,2013_Bodie.Kane.Marcus_Investments
26,"alpha transfer    A strategy in which you invest in positive alpha positions, hedge the systematic risk of the investment, and finally establish market exposure where you want it using passive indexes.",alpha transfer,,,"A strategy in which you invest in positive alpha positions, hedge the systematic risk of the investment, and finally establish market exposure where you want it using passive indexes.",2013_Bodie.Kane.Marcus_Investments
27,American depository receipts (ADRs)    Domestically traded securities representing claims to shares of foreign stocks.,American depository receipts,ADRs,,Domestically traded securities representing claims to shares of foreign stocks.,2013_Bodie.Kane.Marcus_Investments
28,"American option    An American option can be exercised before and up to its expiration date. Compare with a   European option,  which can be exercised only on the  expiration date.",American option,,,"An American option can be exercised before and up to its expiration date. Compare with a  European option, which can be exercised only on the expiration date.",2013_Bodie.Kane.Marcus_Investments
29,"announcement date    Date on which particular news  concerning a given company is announced to the public. Used in  event studies,  which researchers use to evaluate the economic impact of events of interest.",announcement date,,,"Date on which particular news concerning a given company is announced to the public. Used in event studies, which researchers use to evaluate the economic impact of events of interest.",2013_Bodie.Kane.Marcus_Investments
30,annual percentage rate (APR)    Interest rate is annualized using simple rather than compound interest.,annual percentage rate,APR,,Interest rate is annualized using simple rather than compound interest.,2013_Bodie.Kane.Marcus_Investments
31,anomalies    Patterns of returns that seem to contradict the efficient market hypothesis.,anomalies,,,Patterns of returns that seem to contradict the efficient market hypothesis.,2013_Bodie.Kane.Marcus_Investments
32,appraisal ratio    The signal-to-noise ratio of an analyst's forecasts. The ratio of alpha to residual standard deviation.,appraisal ratio,,,The signal-to-noise ratio of an analyst's forecasts. The ratio of alpha to residual standard deviation.,2013_Bodie.Kane.Marcus_Investments
33,"arbitrage    A zero-risk, zero-net investment strategy that still generates profits.",arbitrage,,,"A zero-risk, zero-net investment strategy that still generates profits.",2013_Bodie.Kane.Marcus_Investments
34,bid-ask spread    The difference between a dealer's bid and ask price.,bid ask spread,,,The difference between a dealer's bid and ask price.,2013_Bodie.Kane.Marcus_Investments
35,bid price    The price at which a dealer is willing to purchase a security.,bid price,,,The price at which a dealer is willing to purchase a security.,2013_Bodie.Kane.Marcus_Investments
36,binomial model    An option-valuation model predicated on the assumption that stock prices can move to only two values over any short time period.,binomial model,,,An option-valuation model predicated on the assumption that stock prices can move to only two values over any short time period.,2013_Bodie.Kane.Marcus_Investments
37,"Black-Scholes formula    An equation to value a call option that uses the stock price, the exercise price, the risk-free interest rate, the time to maturity, and the standard deviation of the stock return.",Black Scholes formula,,,"An equation to value a call option that uses the stock price, the exercise price, the risk-free interest rate, the time to maturity, and the standard deviation of the stock return.",2013_Bodie.Kane.Marcus_Investments
38,"blocks, block sale    A transaction of more than 10,000 shares of stock.","blocks, block sale",,,"A transaction of more than 10,000 shares of stock.",2013_Bodie.Kane.Marcus_Investments
39,bogey    The return an investment manager is compared to for performance evaluation.,bogey,,,The return an investment manager is compared to for performance evaluation.,2013_Bodie.Kane.Marcus_Investments
40,"bond    A security issued by a borrower that obligates the issuer to make specified payments to the holder over a spe-cific period. A  coupon bond  obligates the issuer to make interest payments called coupon payments over the life of the bond, then to repay the  face value  at maturity.",bond,,,"A security issued by a borrower that obligates the issuer to make specified payments to the holder over a spe-cific period. A coupon bond obligates the issuer to make interest payments called coupon payments over the life of the bond, then to repay the face value at maturity.",2013_Bodie.Kane.Marcus_Investments
41,bond equivalent yield    Bond yield calculated on an annual percentage rate method. Differs from effective annual yield.,bond equivalent yield,,,Bond yield calculated on an annual percentage rate method. Differs from effective annual yield.,2013_Bodie.Kane.Marcus_Investments
42,bond indenture    The contract between the issuer and the bondholder.,bond indenture,,,The contract between the issuer and the bondholder.,2013_Bodie.Kane.Marcus_Investments
43,bond reconstitution    Combining stripped Treasury securi-ties to re-create the original cash flows of a Treasury bond.,bond reconstitution,,,Combining stripped Treasury securi-ties to re-create the original cash flows of a Treasury bond.,2013_Bodie.Kane.Marcus_Investments
44,bond stripping    Selling bond cash flows (either coupon or principal payments) as stand-alone zero-coupon securities.,bond stripping,,,Selling bond cash flows (either coupon or principal payments) as stand-alone zero-coupon securities.,2013_Bodie.Kane.Marcus_Investments
45,book-to-market effect    The tendency for stocks of firms with high ratios of book-to-market value to generate abnor-mal returns.,book to market effect,,,The tendency for stocks of firms with high ratios of book-to-market value to generate abnor-mal returns.,2013_Bodie.Kane.Marcus_Investments
46,book value    An accounting measure describing the net worth of common equity according to a firm's balance sheet.,book value,,,An accounting measure describing the net worth of common equity according to a firm's balance sheet.,2013_Bodie.Kane.Marcus_Investments
47,breadth    The extent to which movements in the broad mar-ket index are reflected widely in movements of individual stock prices.,breadth,,,The extent to which movements in the broad mar-ket index are reflected widely in movements of individual stock prices.,2013_Bodie.Kane.Marcus_Investments
48,brokered market    A market where an intermediary (a bro-ker) offers search services to buyers and sellers.,brokered market,,,A market where an intermediary (a bro-ker) offers search services to buyers and sellers.,2013_Bodie.Kane.Marcus_Investments
49,budget deficit    The amount by which government spend-ing exceeds government revenues.,budget deficit,,,The amount by which government spend-ing exceeds government revenues.,2013_Bodie.Kane.Marcus_Investments
50,"bull CD, bear CD    A  bull CD  pays its holder a specified percentage of the increase in return on a specified market index while guaranteeing a minimum rate of return. A  bear CD  pays the holder a fraction of any fall in a given market index.","bull CD, bear CD",,,A bull CD pays its holder a specified percentage of the increase in return on a specified market index while guaranteeing a minimum rate of return. A bear CD pays the holder a fraction of any fall in a given market index.,2013_Bodie.Kane.Marcus_Investments
51,"bullish, bearish    Words used to describe investor attitudes.  Bullish  means optimistic;  bearish  means pessimistic. Also used in bull market and bear market.","bullish, bearish",,,Words used to describe investor attitudes. Bullish means optimistic; bearish means pessimistic. Also used in bull market and bear market.,2013_Bodie.Kane.Marcus_Investments
52,"bundling, unbundling    A trend allowing creation of secu-rities either by combining primitive and derivative securities into one composite hybrid or by separating returns on an asset into classes.","bundling, unbundling",,,A trend allowing creation of secu-rities either by combining primitive and derivative securities into one composite hybrid or by separating returns on an asset into classes.,2013_Bodie.Kane.Marcus_Investments
53,business cycle    Repetitive cycles of recession and recovery.,business cycle,,,Repetitive cycles of recession and recovery.,2013_Bodie.Kane.Marcus_Investments
54,C    calendar spread    Buy one option and write another with a different expiration date.,calendar spread,,,Buy one option and write another with a different expiration date.,2013_Bodie.Kane.Marcus_Investments
55,callable bond    A bond that the issuer may repurchase at a given price in some specified period.,callable bond,,,A bond that the issuer may repurchase at a given price in some specified period.,2013_Bodie.Kane.Marcus_Investments
56,call option    The right to buy an asset at a specified exercise price on or before a specified expiration date.,call option,,,The right to buy an asset at a specified exercise price on or before a specified expiration date.,2013_Bodie.Kane.Marcus_Investments
57,call protection    An initial period during which a callable bond may not be called.,call protection,,,An initial period during which a callable bond may not be called.,2013_Bodie.Kane.Marcus_Investments
58,capital allocation decision    Allocation of invested funds between risk-free assets versus the risky portfolio.,capital allocation decision,,,Allocation of invested funds between risk-free assets versus the risky portfolio.,2013_Bodie.Kane.Marcus_Investments
59,capital allocation line (CAL)    A graph showing all feasible risk-return combinations of a risky and risk-free asset.,capital allocation line,CAL,,A graph showing all feasible risk-return combinations of a risky and risk-free asset.,2013_Bodie.Kane.Marcus_Investments
60,capital gains    The amount by which the sale price of a security exceeds the purchase price.,capital gains,,,The amount by which the sale price of a security exceeds the purchase price.,2013_Bodie.Kane.Marcus_Investments
61,capital market line (CML)    A capital allocation line pro-vided by the market-index portfolio.,capital market line,CML,,A capital allocation line pro-vided by the market-index portfolio.,2013_Bodie.Kane.Marcus_Investments
62,"capital markets    Includes longer-term, relatively riskier securities.",capital markets,,,"Includes longer-term, relatively riskier securities.",2013_Bodie.Kane.Marcus_Investments
63,cash/bond selection    Asset allocation in which the choice is between short-term cash equivalents and longer-term bonds.,cash bond selection,,,Asset allocation in which the choice is between short-term cash equivalents and longer-term bonds.,2013_Bodie.Kane.Marcus_Investments
64,cash equivalents    Short-term money-market securities.,cash equivalents,,,Short-term money-market securities.,2013_Bodie.Kane.Marcus_Investments
65,"cash flow matching    A form of immunization, matching cash flows from a bond portfolio with an obligation.",cash flow matching,,,"A form of immunization, matching cash flows from a bond portfolio with an obligation.",2013_Bodie.Kane.Marcus_Investments
66,cash ratio    Measure of liquidity of a firm. Ratio of cash and marketable securities to current liabilities.,cash ratio,,,Measure of liquidity of a firm. Ratio of cash and marketable securities to current liabilities.,2013_Bodie.Kane.Marcus_Investments
67,cash settlement    The provision of some futures contracts that requires not delivery of the underlying assets (as in agri-cultural futures) but settlement according to the cash value of the asset.,cash settlement,,,The provision of some futures contracts that requires not delivery of the underlying assets (as in agri-cultural futures) but settlement according to the cash value of the asset.,2013_Bodie.Kane.Marcus_Investments
68,certainty equivalent rate    The certain return providing the same utility as a risky portfolio.,certainty equivalent rate,,,The certain return providing the same utility as a risky portfolio.,2013_Bodie.Kane.Marcus_Investments
69,certificate of deposit    A bank time deposit.,certificate of deposit,,,A bank time deposit.,2013_Bodie.Kane.Marcus_Investments
70,"clearinghouse    Established by exchanges to facilitate transfer of securities resulting from trades. For options and futures contracts, the clearinghouse may interpose itself as a middleman between two traders.",clearinghouse,,,"Established by exchanges to facilitate transfer of securities resulting from trades. For options and futures contracts, the clearinghouse may interpose itself as a middleman between two traders.",2013_Bodie.Kane.Marcus_Investments
71,closed-end (mutual) fund    A fund whose shares are traded through brokers at market prices; the fund will not redeem shares at their net asset value. The market price of the fund can differ from the net asset value.,closed end,,,A fund whose shares are traded through brokers at market prices; the fund will not redeem shares at their net asset value. The market price of the fund can differ from the net asset value.,2013_Bodie.Kane.Marcus_Investments
72,collar    An options strategy that brackets the value of a port-folio between two bounds.,collar,,,An options strategy that brackets the value of a port-folio between two bounds.,2013_Bodie.Kane.Marcus_Investments
73,collateral    A specific asset pledged against possible default on a bond.  Mortgage bonds  are backed by claims on prop-erty.  Collateral trust bonds  are backed by claims on other securities.  Equipment obligation bonds  are backed by claims on equipment.,collateral,,,A specific asset pledged against possible default on a bond. Mortgage bonds are backed by claims on prop-erty. Collateral trust bonds are backed by claims on other securities. Equipment obligation bonds are backed by claims on equipment.,2013_Bodie.Kane.Marcus_Investments
74,collateralized debt obligation (CDO)    A pool of loans sliced into several tranches with different levels of risk.,collateralized debt obligation,CDO,,A pool of loans sliced into several tranches with different levels of risk.,2013_Bodie.Kane.Marcus_Investments
75,collateralized mortgage obligation (CMO)    A mortgage pass-through security that partitions cash flows from under-lying mortgages into classes called  tranches  that receive principal payments according to stipulated rules.,collateralized mortgage obligation,CMO,,A mortgage pass-through security that partitions cash flows from under-lying mortgages into classes called tranches that receive principal payments according to stipulated rules.,2013_Bodie.Kane.Marcus_Investments
76,commercial paper    Short-term unsecured debt issued by large corporations.,commercial paper,,,Short-term unsecured debt issued by large corporations.,2013_Bodie.Kane.Marcus_Investments
77,"common stock    Equities, or equity securities, issued as ownership shares in a publicly held corporation.  Shareholders have voting rights and may receive dividends based on their proportionate ownership.",common stock,,,"Equities, or equity securities, issued as ownership shares in a publicly held corporation. Shareholders have voting rights and may receive dividends based on their proportionate ownership.",2013_Bodie.Kane.Marcus_Investments
78,comparison universe    The collection of money managers of similar investment style used for assessing relative perfor-mance of a portfolio manager.,comparison universe,,,The collection of money managers of similar investment style used for assessing relative perfor-mance of a portfolio manager.,2013_Bodie.Kane.Marcus_Investments
79,"complete portfolio    The entire portfolio, including risky and risk-free assets.",complete portfolio,,,"The entire portfolio, including risky and risk-free assets.",2013_Bodie.Kane.Marcus_Investments
80,conditional tail expectation    Expectation of a random variable conditional on its falling below some threshold value. Often used as a measure of down side risk.,conditional tail expectation,,,Expectation of a random variable conditional on its falling below some threshold value. Often used as a measure of down side risk.,2013_Bodie.Kane.Marcus_Investments
81,confidence index    Ratio of the yield of top-rated corporate bonds to the yield on intermediate-grade bonds.,confidence index,,,Ratio of the yield of top-rated corporate bonds to the yield on intermediate-grade bonds.,2013_Bodie.Kane.Marcus_Investments
82,conservativism    Notion that investors are too slow to update their beliefs in response to new evidence.,conservativism,,,Notion that investors are too slow to update their beliefs in response to new evidence.,2013_Bodie.Kane.Marcus_Investments
83,constant-growth DDM    A form of the dividend discount model that assumes dividends will grow at a constant rate.,constant growth DDM,,,A form of the dividend discount model that assumes dividends will grow at a constant rate.,2013_Bodie.Kane.Marcus_Investments
84,contango theory    Holds that the futures price must exceed the expected future spot price.,contango theory,,,Holds that the futures price must exceed the expected future spot price.,2013_Bodie.Kane.Marcus_Investments
85,contingent claim    Claim whose value is directly depen-dent on or is contingent on the value of some underlying assets.,contingent claim,,,Claim whose value is directly depen-dent on or is contingent on the value of some underlying assets.,2013_Bodie.Kane.Marcus_Investments
86,contingent immunization    A mixed passive-active  strategy that immunizes a portfolio if necessary to guarantee a minimum acceptable return but otherwise allows active management.,contingent immunization,,,A mixed passive-active strategy that immunizes a portfolio if necessary to guarantee a minimum acceptable return but otherwise allows active management.,2013_Bodie.Kane.Marcus_Investments
87,convergence arbitrage    A bet that two or more prices are out of alignment and that profits can be made when the prices converge back to proper relationship.,convergence arbitrage,,,A bet that two or more prices are out of alignment and that profits can be made when the prices converge back to proper relationship.,2013_Bodie.Kane.Marcus_Investments
88,convergence property    The convergence of futures prices and spot prices at the maturity of the futures contract.,convergence property,,,The convergence of futures prices and spot prices at the maturity of the futures contract.,2013_Bodie.Kane.Marcus_Investments
89,convertible bond    A bond with an option allowing the bondholder to exchange the bond for a specified number of shares of common stock in the firm. A  conversion ratio  specifies the number of shares. The  market conversion price  is the current value of the shares for which the bond may be exchanged. The  conversion premium  is the excess of the bond's value over the conversion price.,convertible bond,,,A bond with an option allowing the bondholder to exchange the bond for a specified number of shares of common stock in the firm. A conversion ratio specifies the number of shares. The market conversion price is the current value of the shares for which the bond may be exchanged. The conversion premium is the excess of the bond's value over the conversion price.,2013_Bodie.Kane.Marcus_Investments
90,convexity    The curvature of the price-yield relationship of a bond.,convexity,,,The curvature of the price-yield relationship of a bond.,2013_Bodie.Kane.Marcus_Investments
91,corporate bonds    Long-term debt issued by private corpo-rations typically paying semiannual coupons and returning the face value of the bond at maturity.,corporate bonds,,,Long-term debt issued by private corpo-rations typically paying semiannual coupons and returning the face value of the bond at maturity.,2013_Bodie.Kane.Marcus_Investments
92,correlation coefficient    A statistic in which the covariance is scaled to a value between  2 1 (perfect negative correla-tion) and 11 (perfect positive correlation).,correlation coefficient,,,A statistic in which the covariance is scaled to a value between 2 1 (perfect negative correla-tion) and 11 (perfect positive correlation).,2013_Bodie.Kane.Marcus_Investments
93,cost-of-carry relationship    See spot-futures parity theorem.,cost of carry relationship,,,See spot-futures parity theorem.,2013_Bodie.Kane.Marcus_Investments
94,country selection    A type of active international manage-ment that measures the contribution to performance attribut-able to investing in the better-performing stock markets of the world.,country selection,,,A type of active international manage-ment that measures the contribution to performance attribut-able to investing in the better-performing stock markets of the world.,2013_Bodie.Kane.Marcus_Investments
95,coupon rate    A bond's interest payments per dollar of par value.,coupon rate,,,A bond's interest payments per dollar of par value.,2013_Bodie.Kane.Marcus_Investments
96,covariance    A measure of the degree to which returns on two risky assets move in tandem. A positive covariance means that asset returns move together. A negative covari-ance means they vary inversely.,covariance,,,A measure of the degree to which returns on two risky assets move in tandem. A positive covariance means that asset returns move together. A negative covari-ance means they vary inversely.,2013_Bodie.Kane.Marcus_Investments
97,covered call    A combination of selling a call on a stock together with buying the stock.,covered call,,,A combination of selling a call on a stock together with buying the stock.,2013_Bodie.Kane.Marcus_Investments
98,covered interest arbitrage relation    See interest rate parity  relation.,covered interest arbitrage relation,,,See interest rate parity relation.,2013_Bodie.Kane.Marcus_Investments
99,credit default swap (CDS)    A derivative contract in which one party sells insurance concerning the credit risk of another firm.,credit default swap,CDS,,A derivative contract in which one party sells insurance concerning the credit risk of another firm.,2013_Bodie.Kane.Marcus_Investments
100,credit enhancement    Purchase of the financial guarantee of a large insurance company to raise funds.,credit enhancement,,,Purchase of the financial guarantee of a large insurance company to raise funds.,2013_Bodie.Kane.Marcus_Investments
101,credit risk    Default risk.,credit risk,,,Default risk.,2013_Bodie.Kane.Marcus_Investments
102,cross-hedge    Hedging a position in one asset using futures on another commodity.,cross hedge,,,Hedging a position in one asset using futures on another commodity.,2013_Bodie.Kane.Marcus_Investments
103,cumulative abnormal return    See abnormal return.,cumulative abnormal return,,,See abnormal return.,2013_Bodie.Kane.Marcus_Investments
104,currency selection    Asset allocation in which the investor chooses among investments denominated in different currencies.,currency selection,,,Asset allocation in which the investor chooses among investments denominated in different currencies.,2013_Bodie.Kane.Marcus_Investments
105,current ratio    A ratio representing the ability of the firm to pay off its current liabilities by liquidating current assets (current assets/current liabilities).,current ratio,,,A ratio representing the ability of the firm to pay off its current liabilities by liquidating current assets (current assets/current liabilities).,2013_Bodie.Kane.Marcus_Investments
106,current yield    A bond's annual coupon payment divided by its price. Differs from yield to maturity.,current yield,,,A bond's annual coupon payment divided by its price. Differs from yield to maturity.,2013_Bodie.Kane.Marcus_Investments
107,cyclical industries    Industries with above-average sensitiv-ity to the state of the economy.,cyclical industries,,,Industries with above-average sensitiv-ity to the state of the economy.,2013_Bodie.Kane.Marcus_Investments
108,D    dark pools    Electronic trading networks where participants can anonymously buy or sell large blocks of securities.,dark pools,,,Electronic trading networks where participants can anonymously buy or sell large blocks of securities.,2013_Bodie.Kane.Marcus_Investments
109,data mining    Sorting through large amounts of historical data to uncover systematic patterns that can be exploited.,data mining,,,Sorting through large amounts of historical data to uncover systematic patterns that can be exploited.,2013_Bodie.Kane.Marcus_Investments
110,day order    A buy order or a sell order expiring at the close of the trading day.,day order,,,A buy order or a sell order expiring at the close of the trading day.,2013_Bodie.Kane.Marcus_Investments
111,days' receivables    See average collection period.,days' receivables,,,See average collection period.,2013_Bodie.Kane.Marcus_Investments
112,dealer market    A market where traders specializing in particular commodities buy and sell assets for their own accounts. The OTC market is an example.,dealer market,,,A market where traders specializing in particular commodities buy and sell assets for their own accounts. The OTC market is an example.,2013_Bodie.Kane.Marcus_Investments
113,debenture or unsecured bond    A bond not backed by spe-cific collateral.,debenture or unsecured bond,,,A bond not backed by spe-cific collateral.,2013_Bodie.Kane.Marcus_Investments
114,debt securities    Bonds; also called  fixed-income securities.,debt securities,,,Bonds; also called fixed-income securities.,2013_Bodie.Kane.Marcus_Investments
115,dedication strategy    Refers to multiperiod cash flow matching.,dedication strategy,,,Refers to multiperiod cash flow matching.,2013_Bodie.Kane.Marcus_Investments
116,default premium    A differential in promised yield that compensates the investor for the risk inherent in purchasing a corporate bond that entails some risk of default.,default premium,,,A differential in promised yield that compensates the investor for the risk inherent in purchasing a corporate bond that entails some risk of default.,2013_Bodie.Kane.Marcus_Investments
117,DuPont system    Decomposition of a firm's profitability measures into the underlying factors that determine such profitability.,DuPont system,,,Decomposition of a firm's profitability measures into the underlying factors that determine such profitability.,2013_Bodie.Kane.Marcus_Investments
118,"duration    A measure of the average life of a bond, defined as the weighted average of the times until each payment is made, with weights proportional to the present value of the payment.",duration,,,"A measure of the average life of a bond, defined as the weighted average of the times until each payment is made, with weights proportional to the present value of the payment.",2013_Bodie.Kane.Marcus_Investments
119,dynamic hedging    Constant updating of hedge positions as market conditions change.,dynamic hedging,,,Constant updating of hedge positions as market conditions change.,2013_Bodie.Kane.Marcus_Investments
120,"E    EAFE index    The Europe, Australasia, Far East index, computed by Morgan Stanley, is a widely used index of  non-U.S. stocks.",EAFE index,,,"The Europe, Australasia, Far East index, computed by Morgan Stanley, is a widely used index of non-U.S. stocks.",2013_Bodie.Kane.Marcus_Investments
121,earnings management    The practice of using flexibility in accounting rules to improve the apparent profitability of the firm.,earnings management,,,The practice of using flexibility in accounting rules to improve the apparent profitability of the firm.,2013_Bodie.Kane.Marcus_Investments
122,earnings retention ratio    Plowback ratio.,earnings retention ratio,,,Plowback ratio.,2013_Bodie.Kane.Marcus_Investments
123,"earnings yield    The ratio of earnings to price, E/P.",earnings yield,,,"The ratio of earnings to price, E/P.",2013_Bodie.Kane.Marcus_Investments
124,economic earnings    The real flow of cash that a firm could pay out forever in the absence of any change in the firm's productive capacity.,economic earnings,,,The real flow of cash that a firm could pay out forever in the absence of any change in the firm's productive capacity.,2013_Bodie.Kane.Marcus_Investments
125,economic value added (EVA)    The spread between ROA and cost of capital multiplied by the capital invested in the firm. It measures the dollar value of the firm's return in excess of its opportunity cost.,economic value added,EVA,,The spread between ROA and cost of capital multiplied by the capital invested in the firm. It measures the dollar value of the firm's return in excess of its opportunity cost.,2013_Bodie.Kane.Marcus_Investments
126,effective annual rate (EAR)    Interest rate annualized using compound rather than simple interest.,effective annual rate,EAR,,Interest rate annualized using compound rather than simple interest.,2013_Bodie.Kane.Marcus_Investments
127,effective annual yield    Annualized interest rate on a  security computed using compound interest techniques.,effective annual yield,,,Annualized interest rate on a security computed using compound interest techniques.,2013_Bodie.Kane.Marcus_Investments
128,effective duration    Percentage change in bond price per change in the level of market interest rates.,effective duration,,,Percentage change in bond price per change in the level of market interest rates.,2013_Bodie.Kane.Marcus_Investments
129,"efficient diversification    The organizing principle of mod-ern portfolio theory, which maintains that any risk-averse investor will search for the highest expected return for any level of portfolio risk.",efficient diversification,,,"The organizing principle of mod-ern portfolio theory, which maintains that any risk-averse investor will search for the highest expected return for any level of portfolio risk.",2013_Bodie.Kane.Marcus_Investments
130,efficient frontier    Graph representing a set of portfolios that maximize expected return at each level of portfolio risk.,efficient frontier,,,Graph representing a set of portfolios that maximize expected return at each level of portfolio risk.,2013_Bodie.Kane.Marcus_Investments
131,efficient frontier of risky assets    The portion of the  minimum-variance frontier that lies above the global  minimum-variance portfolio.,efficient frontier of risky assets,,,The portion of the minimum-variance frontier that lies above the global minimum-variance portfolio.,2013_Bodie.Kane.Marcus_Investments
