ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
10,Asset allocation The percentage allocation of an investor's total portfolio in different asset classes.,Asset allocation,,,The percentage allocation of an investor's total portfolio in different asset classes.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
11,"Average gain A simple average (arithmetic mean) of the periods with a gain. It is calculated by summing the returns for gain periods (i.e., with returns greater than or equal to zero) and dividing the total by the num- ber of gain periods.",Average gain,,,"A simple average (arithmetic mean) of the periods with a gain. It is calculated by summing the returns for gain periods (i.e., with returns greater than or equal to zero) and dividing the total by the num- ber of gain periods.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
12,"Average loss A simple average (arithmetic mean) of the periods with a loss. It is calculated by summing the returns for loss periods (i.e., with returns less than zero) and dividing the total by the number of loss periods.",Average loss,,,"A simple average (arithmetic mean) of the periods with a loss. It is calculated by summing the returns for loss periods (i.e., with returns less than zero) and dividing the total by the number of loss periods.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
13,Average return A simple average (arithmetic mean) calculated by sum- ming the returns for each period and dividing the total by the number of periods. The simple average does not take into account the com- pounding effect of investment returns.,Average return,,,A simple average (arithmetic mean) calculated by sum- ming the returns for each period and dividing the total by the number of periods. The simple average does not take into account the com- pounding effect of investment returns.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
14,"Beta A historical measure of an investment's sensitivity to market move- ments. By definition, the beta of the market (as measured by the bench- mark) is 1.0. A beta of less than 1.0 indicates that the investment is less sensitive to the market; a beta of more than 1.0 indicates that  the investment is more sensitive to the market. Generally, the higher the",Beta,,,"A historical measure of an investment's sensitivity to market move- ments. By definition, the beta of the market (as measured by the bench- mark) is 1.0. A beta of less than 1.0 indicates that the investment is less sensitive to the market; a beta of more than 1.0 indicates that  the investment is more sensitive to the market. Generally, the higher the",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
15,"Beta confidence interval (95 percent) The range within which the true beta of the fund is estimated to fall, with 95 percent probability.",Beta confidence interval,,,"The range within which the true beta of the fund is estimated to fall, with 95 percent probability.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
16,"Benchmark A standard against which risk and return investment per- formance can be evaluated. Widely used equity performance bench- marks are the total return of the Standard & Poor's 500, the Russell 3000, and the Morgan Stanley Capital International (MSCI) Europe, Australasia, Far East (EAFE) Index. Different benchmarks are used for evaluating different asset classes or styles of investing.",Benchmark,,,"A standard against which risk and return investment per- formance can be evaluated. Widely used equity performance bench- marks are the total return of the Standard & Poor's 500, the Russell 3000, and the Morgan Stanley Capital International (MSCI) Europe, Australasia, Far East (EAFE) Index. Different benchmarks are used for evaluating different asset classes or styles of investing.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
17,"Black-Scholes The most widely used option-pricing model to date, devel- oped by Fisher Black and Myron Scholes in 1973. To determine the fair market value of an option, the Black-Scholes option valuation model considers the security's price, the exercise price, the risk-free rate, the time to maturity, and the standard deviation of the underlying asset price.",Black Scholes,,,"The most widely used option-pricing model to date, devel- oped by Fisher Black and Myron Scholes in 1973. To determine the fair market value of an option, the Black-Scholes option valuation model considers the security's price, the exercise price, the risk-free rate, the time to maturity, and the standard deviation of the underlying asset price.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
18,"Bottom-up investing An approach to investing that bases investment selection on fundamental analysis of specific companies, rather than a top-down approach that centers on evaluation of economic trends. Bottom-up investing involves detailed company-specific analysis to arrive at investment decisions. Emphasis is placed on company fundamen- tals such as earnings, cash flows, financial ratios, price/earnings ratios, and others to determine the relative value of a stock.",Bottom up investing,,,"An approach to investing that bases investment selection on fundamental analysis of specific companies, rather than a top-down approach that centers on evaluation of economic trends. Bottom-up investing involves detailed company-specific analysis to arrive at investment decisions. Emphasis is placed on company fundamen- tals such as earnings, cash flows, financial ratios, price/earnings ratios, and others to determine the relative value of a stock.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
19,Calmar ratio The average annual return for a period of time divided by the maximum drawdown during that period.,Calmar ratio,,,The average annual return for a period of time divided by the maximum drawdown during that period.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
20,"Collateralized debt obligation (CDO/CBO) An asset-backed type of secu- ritization whereby the underlying portfolio is comprised of securities, collateralized bond obligation (CBOs), or loans, collateralized loan obligations (CLOs), or a mixture of both. CDOs fall into two main cat- egories. In balance sheet CDOs, usually the seller is a financial institu- tion selling to restructure a debt portfolio, possibly to free up loaning capacity or reduce their regulatory capital. In arbitrage CDOs, the goal is to purchase a portfolio that will act as collateral for a securitization with tranches for the various risk levels required by investors.",Collateralized debt obligation,CDO/CBO,,"An asset-backed type of secu- ritization whereby the underlying portfolio is comprised of securities, collateralized bond obligation (CBOs), or loans, collateralized loan obligations (CLOs), or a mixture of both. CDOs fall into two main cat- egories. In balance sheet CDOs, usually the seller is a financial institu- tion selling to restructure a debt portfolio, possibly to free up loaning capacity or reduce their regulatory capital. In arbitrage CDOs, the goal is to purchase a portfolio that will act as collateral for a securitization with tranches for the various risk levels required by investors.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
21,"Collateralized mortgage obligation (CMO) A pass-through security that aggregates a pool of mortgage-backed debt obligations. Homeowners' principal and interest payments pass from the originating bank or sav- ings and loan through a government agency or investment bank, to investors, net of a loan-servicing fee payable to the originator.",Collateralized mortgage obligation,CMO,,"A pass-through security that aggregates a pool of mortgage-backed debt obligations. Homeowners' principal and interest payments pass from the originating bank or sav- ings and loan through a government agency or investment bank, to investors, net of a loan-servicing fee payable to the originator.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
22,Commodity futures trading commission (CFTC) A regulatory agency that monitors commodity pool operators and commodity trading advisors.,Commodity futures trading commission,CFTC,,A regulatory agency that monitors commodity pool operators and commodity trading advisors.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
23,"Commingled pools A pool of capital made up of several investors in a sin- gle or multimanager strategy. The opposite of a separate, managed account for a single investor. Usually structured to allow for lower min- imum investments than a separate account.",Commingled pools,,,"A pool of capital made up of several investors in a sin- gle or multimanager strategy. The opposite of a separate, managed account for a single investor. Usually structured to allow for lower min- imum investments than a separate account.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
24,Compound (geometric) average return The geometric mean is the monthly average that assumes there is an equivalent rate of return for each month to arrive at the same compound growth rate as when using the actual month-to-month return data. The quarterly and annual compound returns are calculated using the monthly compound return solution.,Compound,,,The geometric mean is the monthly average that assumes there is an equivalent rate of return for each month to arrive at the same compound growth rate as when using the actual month-to-month return data. The quarterly and annual compound returns are calculated using the monthly compound return solution.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
25,"Convertible bond arbitrage An investment strategy whereby one is simul- taneously long the undervalued convertible securities (bond or pre- ferred stock) and short the overvalued underlying equities of the same issuer, thereby “working the spread” between the two types of securi- ties. This is considered a relatively conservative, market-neutral strat- egy (low or no correlation to the market), with a medium-term investment period.",Convertible bond arbitrage,,,"An investment strategy whereby one is simul- taneously long the undervalued convertible securities (bond or pre- ferred stock) and short the overvalued underlying equities of the same issuer, thereby “working the spread” between the two types of securi- ties. This is considered a relatively conservative, market-neutral strat- egy (low or no correlation to the market), with a medium-term investment period.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
26,"Convexity Refers to the shape (i.e., degree of curvature) of the price/yield relationship in a fixed income instrument.",Convexity,,,"Refers to the shape (i.e., degree of curvature) of the price/yield relationship in a fixed income instrument.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
27,Correlation A measurement of relationship between two variables. The correlation coefficient (r) shows if there is any correlation between an asset and the market. Perfect correlation is 1.0; 0.0 is absolutely no cor- relation; and -1.0 is a perfect negative correlation. Studies indicate that a correlation coefficient below 0.3 has no correlation to the market.,Correlation,,,A measurement of relationship between two variables. The correlation coefficient (r) shows if there is any correlation between an asset and the market. Perfect correlation is 1.0; 0.0 is absolutely no cor- relation; and -1.0 is a perfect negative correlation. Studies indicate that a correlation coefficient below 0.3 has no correlation to the market.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
28,Cumulative dollar profit The total profit/loss in dollars (in millions) from inception to the end of the year.,Cumulative dollar profit,,,The total profit/loss in dollars (in millions) from inception to the end of the year.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
29,"Derivatives Financial instruments that “derive” value from related securi- ties or a combination of securities. For example, an equity option",Derivatives,,,"Financial instruments that “derive” value from related securi- ties or a combination of securities. For example, an equity option",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
30,"Discretionary trading The use of fundamental analysis or computer sys- tems or a combination of the two to identify profitable trades. In gen- eral, this tends to be the highest-risk and highest-return strategy within the universe of hedge funds, with concentrated positions held for very short periods of time. The main difference between this strategy and systematic trading is that the investment decision is not automated; the manager makes the final investment decision.",Discretionary trading,,,"The use of fundamental analysis or computer sys- tems or a combination of the two to identify profitable trades. In gen- eral, this tends to be the highest-risk and highest-return strategy within the universe of hedge funds, with concentrated positions held for very short periods of time. The main difference between this strategy and systematic trading is that the investment decision is not automated; the manager makes the final investment decision.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
31,"Distressed securities The securities of companies undergoing corporate restructuring, usually bankruptcy or reorganization. Investors seek to buy company securities at a low price and resell when/if the company comes out of bankruptcy and securities appreciate. Securities can range from low-risk senior secured debt to high-risk common stock.",Distressed securities,,,"The securities of companies undergoing corporate restructuring, usually bankruptcy or reorganization. Investors seek to buy company securities at a low price and resell when/if the company comes out of bankruptcy and securities appreciate. Securities can range from low-risk senior secured debt to high-risk common stock.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
32,Distribution The number of gaining or losing rolling periods divided by the total number of rolling periods. Percentages in the “gain” and “loss” columns will total 100 percent.,Distribution,,,The number of gaining or losing rolling periods divided by the total number of rolling periods. Percentages in the “gain” and “loss” columns will total 100 percent.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
33,Domestic (onshore) fund An unregistered investment entity that is formed in the United States and open to U.S. investors. The general partner typ- ically acts as investment advisor and manages the fund in return for an advisory and performance fee. The fund typically is structured as a lim- ited liability corporation or a limited partnership.,Domestic,,,An unregistered investment entity that is formed in the United States and open to U.S. investors. The general partner typ- ically acts as investment advisor and manages the fund in return for an advisory and performance fee. The fund typically is structured as a lim- ited liability corporation or a limited partnership.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
34,Drawdown The cumulative loss from peak to trough for any given period. A drawdown is in effect from the time an equity retrenchment begins until ground has been recovered.,Drawdown,,,The cumulative loss from peak to trough for any given period. A drawdown is in effect from the time an equity retrenchment begins until ground has been recovered.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
35,"Down percentage ratio A measure of the number of periods that the investment outperformed the benchmark when the benchmark was down, divided by the number of periods that the benchmark was down. A larger ratio indicates better risk-adjusted performance.",Down percentage ratio,,,"A measure of the number of periods that the investment outperformed the benchmark when the benchmark was down, divided by the number of periods that the benchmark was down. A larger ratio indicates better risk-adjusted performance.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
36,"Due diligence A sequence of actions taken by an investor to ensure the validity of a particular manager or strategy. Usually due diligence takes the form of several standard questions and site visits to investigate the quality, reputation, background, and adherence to stated manager style and strategy discipline.",Due diligence,,,"A sequence of actions taken by an investor to ensure the validity of a particular manager or strategy. Usually due diligence takes the form of several standard questions and site visits to investigate the quality, reputation, background, and adherence to stated manager style and strategy discipline.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
37,Duration A measure of the sensitivity of a bond's price to changes in interest rates.,Duration,,,A measure of the sensitivity of a bond's price to changes in interest rates.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
38,Durbin-Watson A measure of serial correlation between regression resid- uals. A Durbin-Watson statistic of 2.0 indicates no serial correlation; near 1.0 indicates high serial correlation; and near 3.0 indicates high inverse serial correlation. High serial correlation can mean that the R- squared of a regression is overstated because of a cyclical relationship between the manager's returns and those of the index.,Durbin Watson,,,A measure of serial correlation between regression resid- uals. A Durbin-Watson statistic of 2.0 indicates no serial correlation; near 1.0 indicates high serial correlation; and near 3.0 indicates high inverse serial correlation. High serial correlation can mean that the R- squared of a regression is overstated because of a cyclical relationship between the manager's returns and those of the index.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
39,"DV01 Refers to a parallel shift in the interest rate curve, which states that the market instruments in the interest rate curve are bumped by  1 basis point.",DV01,,,"Refers to a parallel shift in the interest rate curve, which states that the market instruments in the interest rate curve are bumped by  1 basis point.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
40,"EAFE Index An unmanaged index of over 1,000 foreign common stock prices and includes the reinvestment of dividends. The Morgan Stanley Capital International Europe, Australasia, Far East index tracks 20 developed stock markets outside of North America.",EAFE,,,"Index An unmanaged index of over 1,000 foreign common stock prices and includes the reinvestment of dividends. The Morgan Stanley Capital International Europe, Australasia, Far East index tracks 20 developed stock markets outside of North America.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
41,Efficient frontier A graphical representation of both the level of risk and the level of return for any given asset or combination of assets.,Efficient frontier,,,A graphical representation of both the level of risk and the level of return for any given asset or combination of assets.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
42,"Emerging market The market in any country with per capita gross national product of less than US$7,620 in l990 (e.g., Russia, India, etc.) (according to the World Bank). This is primarily a long strategy, as many countries do not permit shorting. The holding period is usually short to medium term. Because these markets are less mature with high, volatile growth and inflation, expected volatility can be very high.",Emerging market,,,"The market in any country with per capita gross national product of less than US$7,620 in l990 (e.g., Russia, India, etc.) (according to the World Bank). This is primarily a long strategy, as many countries do not permit shorting. The holding period is usually short to medium term. Because these markets are less mature with high, volatile growth and inflation, expected volatility can be very high.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
43,"Equity market neutral An investment strategy where an equal dollar amount of securities are held both long and short. The portfolio thereby theoretically maintains a neutral exposure to the market. If longs selected are undervalued and shorts overvalued, there should be net benefit. There are many variations on this basic structure: dollar neutral or equal dollars long and short; sector neutral with balanced sector weightings on both sides, and beta neutral.",Equity market neutral,,,"An investment strategy where an equal dollar amount of securities are held both long and short. The portfolio thereby theoretically maintains a neutral exposure to the market. If longs selected are undervalued and shorts overvalued, there should be net benefit. There are many variations on this basic structure: dollar neutral or equal dollars long and short; sector neutral with balanced sector weightings on both sides, and beta neutral.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
44,"Event-driven/opportunistic An investment strategy that seeks to profit from special situations or opportunities to capitalize on price fluctua- tions or imbalances. Various styles or strategies may be employed simultaneously, or the strategy may be changed as deemed appropriate (e.g., there is no commitment to any particular style or asset class).",Event driven opportunistic,,,"An investment strategy that seeks to profit from special situations or opportunities to capitalize on price fluctua- tions or imbalances. Various styles or strategies may be employed simultaneously, or the strategy may be changed as deemed appropriate (e.g., there is no commitment to any particular style or asset class).",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
45,"Fixed-income arbitrage An arbitrage that takes advantage of mispricing and distortions in value between two securities. Arbitrage profit oppor- tunities often exist because different participants have different objec- tives, constraints, market outlook, and skill level. Yield spreads between fixed-income securities often provide arbitrage opportunities as market factors influence these relationships and produce value dis- tortions. Various fixed-income instruments, such as Treasury bonds, corporate bonds, mortgage backed securities, and derivatives, are uti- lized in an arbitrage situation.",Fixed income arbitrage,,,"An arbitrage that takes advantage of mispricing and distortions in value between two securities. Arbitrage profit oppor- tunities often exist because different participants have different objec- tives, constraints, market outlook, and skill level. Yield spreads between fixed-income securities often provide arbitrage opportunities as market factors influence these relationships and produce value dis- tortions. Various fixed-income instruments, such as Treasury bonds, corporate bonds, mortgage backed securities, and derivatives, are uti- lized in an arbitrage situation.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
46,"Fundamental investment analysis Analysis that is company specific and often includes a focus on earnings, dividends, and cash flow prospects. Consideration also is given to future interest rates and a risk evaluation of the company.",Fundamental investment analysis,,,"Analysis that is company specific and often includes a focus on earnings, dividends, and cash flow prospects. Consideration also is given to future interest rates and a risk evaluation of the company.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
47,"Fund of funds (FOF) A fund that invests in a portfolio of hedge funds. The fund's portfolio may utilize a variety of investment styles, thus cre- ating a diverse vehicle for investors. The benefits of a FOF include: pro- fessional management and monitoring, lower minimums, extensive due diligence prior to investments being made, and access to investment managers that may not be available otherwise.",Fund of funds,FOF,,"A fund that invests in a portfolio of hedge funds. The fund's portfolio may utilize a variety of investment styles, thus cre- ating a diverse vehicle for investors. The benefits of a FOF include: pro- fessional management and monitoring, lower minimums, extensive due diligence prior to investments being made, and access to investment managers that may not be available otherwise.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
48,Geometric average return See Compound (geometric) average return.,Geometric average return,,,See Compound (geometric) average return.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
49,"Global macro fund An investment strategy that is primarily an oppor- tunistic top-down approach, based on shifts in global economies. Hedge fund managers that specialize in this strategy base their investment deci- sion making on economic outlook and speculate on changes in countries' economic policies, changes in currency and interest rate, and mispricing in general. The use of derivatives and leverage is not uncommon.",Global macro fund,,,"An investment strategy that is primarily an oppor- tunistic top-down approach, based on shifts in global economies. Hedge fund managers that specialize in this strategy base their investment deci- sion making on economic outlook and speculate on changes in countries' economic policies, changes in currency and interest rate, and mispricing in general. The use of derivatives and leverage is not uncommon.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
50,"Growth/aggressive growth This strategy refers to investment in companies and industry groups expecting above-average growth in both revenue and earnings. Generally these have high P/E, low/no dividends and are usually small-cap or micro-cap stocks. Investments are normally hedged by shorting and/or options, and moderate volatility may be expected.",Growth aggressive growth,,,"This strategy refers to investment in companies and industry groups expecting above-average growth in both revenue and earnings. Generally these have high P/E, low/no dividends and are usually small-cap or micro-cap stocks. Investments are normally hedged by shorting and/or options, and moderate volatility may be expected.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
51,General partner The party with the general responsibility and liability for a particular limited partnership or other private placement vehicle.,General partner,,,The party with the general responsibility and liability for a particular limited partnership or other private placement vehicle.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
52,Hedge funds A subset of the alternative investment asset class. The term usually refers to private investment vehicles that may utilize a wide,Hedge funds,,,A subset of the alternative investment asset class. The term usually refers to private investment vehicles that may utilize a wide,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
53,Hedge ratio The number of stocks required to hedge against the price risk of holding an option or convertible security.,Hedge ratio,,,The number of stocks required to hedge against the price risk of holding an option or convertible security.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
54,"Hedging A strategy designed to reduce investment risk using call options, put options, short selling, or futures contracts. A hedge can help lock in existing profits, and its purpose is to reduce the potential volatility of a portfolio by reducing the risk of loss.",Hedging,,,"A strategy designed to reduce investment risk using call options, put options, short selling, or futures contracts. A hedge can help lock in existing profits, and its purpose is to reduce the potential volatility of a portfolio by reducing the risk of loss.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
55,"High water mark A loss carried forward. That is, if an investor makes $100 the first year and $100 the second year, then loses $100 in the third and fourth years, he or she is not really even. The general partner must make back the initial $200 gain before becoming eligible again for a performance fee.",High water mark,,,"A loss carried forward. That is, if an investor makes $100 the first year and $100 the second year, then loses $100 in the third and fourth years, he or she is not really even. The general partner must make back the initial $200 gain before becoming eligible again for a performance fee.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
56,"Hurdle rate The minimum investment return a fund must exceed before a performance allocation/incentive fee can be deducted. Frequently, Lon- don Inter-Bank Offer Rate (LIBOR), Treasury bills, a certain percent- age, or other benchmarks measure this rate.",Hurdle rate,,,"The minimum investment return a fund must exceed before a performance allocation/incentive fee can be deducted. Frequently, Lon- don Inter-Bank Offer Rate (LIBOR), Treasury bills, a certain percent- age, or other benchmarks measure this rate.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
57,"Incentive fees Fee charged by the manager in addition to the management fee; it equals a percentage of profits, typically 20 percent, collected either on a monthly, quarterly, or annual basis.",Incentive fees,,,"Fee charged by the manager in addition to the management fee; it equals a percentage of profits, typically 20 percent, collected either on a monthly, quarterly, or annual basis.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
58,"Index A number calculated by weighting prices or rates for a selected set of assets according to a set of predetermined rules (i.e., the Standard & Poor's 500 Index). The purpose of the index is to provide a single number that represents the market movement of the class of assets it represents.",Index,,,"A number calculated by weighting prices or rates for a selected set of assets according to a set of predetermined rules (i.e., the Standard & Poor's 500 Index). The purpose of the index is to provide a single number that represents the market movement of the class of assets it represents.",JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
59,Information ratio The active premium divided by the tracking error. This measure explicitly relates the degree by which an investment has beaten a benchmark to the consistency by which the investment has beaten that same benchmark.,Information ratio,,,The active premium divided by the tracking error. This measure explicitly relates the degree by which an investment has beaten a benchmark to the consistency by which the investment has beaten that same benchmark.,JAMES R HEDGES Hedges On Hedge Funds How To Successfully Analyze AND SELECT AN INVESTMENT.pdf
