ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
25,backspread A spread in which more options are purchased than sold and where all options have the same underlying asset and expiration date. Backspreads are usually delta neutral.,backspread,,,A spread in which more options are purchased than sold and where all options have the same underlying asset and expiration date. Backspreads are usually delta neutral.,Finance - The Options Course - High Profit And Low Stress Trading Methods
26,back-testing The testing of a strategy based on historical data to see if the re- sults are consistent.,back testing,,,The testing of a strategy based on historical data to see if the re- sults are consistent.,Finance - The Options Course - High Profit And Low Stress Trading Methods
27,"balance sheet A financial statement providing an instant picture of a firm's or in- dividual's financial position; lists assets, liabilities, and net worth.",balance sheet,,,"A financial statement providing an instant picture of a firm's or in- dividual's financial position; lists assets, liabilities, and net worth.",Finance - The Options Course - High Profit And Low Stress Trading Methods
28,"bar chart A chart composed of a vertical bar in the center that shows the price range for the period, as well as a horizontal hash mark that identifies the opening price. By reviewing the chart alone, a trader can determine the high and low trades for the time period designated on the chart.",bar chart,,,"A chart composed of a vertical bar in the center that shows the price range for the period, as well as a horizontal hash mark that identifies the opening price. By reviewing the chart alone, a trader can determine the high and low trades for the time period designated on the chart.",Finance - The Options Course - High Profit And Low Stress Trading Methods
29,bear An investor who believes that a security or the market is falling or is ex- pected to fall.,bear,,,An investor who believes that a security or the market is falling or is ex- pected to fall.,Finance - The Options Course - High Profit And Low Stress Trading Methods
30,bear call spread A strategy in which a trader sells a lower strike call and buys a higher strike call to create a trade with limited profit and limited risk. A fall in the price of the underlying asset increases the value of the spread. Net credit transac- tion; maximum loss = difference between the strike prices less net credit; maxi- mum gain = net credit.,bear call spread,,,A strategy in which a trader sells a lower strike call and buys a higher strike call to create a trade with limited profit and limited risk. A fall in the price of the underlying asset increases the value of the spread. Net credit transac- tion; maximum loss = difference between the strike prices less net credit; maxi- mum gain = net credit.,Finance - The Options Course - High Profit And Low Stress Trading Methods
31,"bear market A declining stock market over a prolonged period of time, usually caused by a weak economy and subsequent decreased corporate profits.",bear market,,,"A declining stock market over a prolonged period of time, usually caused by a weak economy and subsequent decreased corporate profits.",Finance - The Options Course - High Profit And Low Stress Trading Methods
32,bear put spread A strategy in which a trader sells a lower strike put and buys a higher strike put to create a trade with limited profit and limited risk. A fall in the price of the underlying asset increases the value of the spread. Net debit transac- tion; maximum gain = difference between strike prices less the net debit; maxi- mum loss = net debit.,bear put spread,,,A strategy in which a trader sells a lower strike put and buys a higher strike put to create a trade with limited profit and limited risk. A fall in the price of the underlying asset increases the value of the spread. Net debit transac- tion; maximum gain = difference between strike prices less the net debit; maxi- mum loss = net debit.,Finance - The Options Course - High Profit And Low Stress Trading Methods
33,"bid The highest price at which a floor broker, trader, or dealer is willing to buy a security or commodity for a specified time.",bid,,,"The highest price at which a floor broker, trader, or dealer is willing to buy a security or commodity for a specified time.",Finance - The Options Course - High Profit And Low Stress Trading Methods
34,bid and asked The bid (the highest price a buyer is prepared to pay for a trading asset) and the asked (the lowest price acceptable to a prospective seller of the same security) together comprise a quotation or quote.,bid and asked,,,The bid together comprise a quotation or quote.,Finance - The Options Course - High Profit And Low Stress Trading Methods
35,bid-asked spread The difference between bid and asked prices.,bid asked spread,,,The difference between bid and asked prices.,Finance - The Options Course - High Profit And Low Stress Trading Methods
36,bid up When demand for an asset drives up the price paid by buyers.,bid up,,,When demand for an asset drives up the price paid by buyers.,Finance - The Options Course - High Profit And Low Stress Trading Methods
37,"block trade A trade so large (for example, 5,000 shares of stock or $200,000 worth of bonds) that the normal auction market cannot absorb it in a reasonable time at a reasonable price.",block trade,,,A trade so large that the normal auction market cannot absorb it in a reasonable time at a reasonable price.,Finance - The Options Course - High Profit And Low Stress Trading Methods
38,blow-off top A steep and rapid increase in price followed by a steep and rapid drop in price. This indicator is often used in technical analysis.,blow off top,,,A steep and rapid increase in price followed by a steep and rapid drop in price. This indicator is often used in technical analysis.,Finance - The Options Course - High Profit And Low Stress Trading Methods
39,"blue-chip stock A stock with solid value, good security, and a record of dividend payments or other desirable investment characteristics with the best market capi- talization in the marketplace. Many times these stocks have a record of consistent dividend payments, receive extensive media coverage, and offer a host of other beneficial investment attributes. This term is derived from poker, where blue chips hold the most value. On the downside, blue-chip stocks tend to be quite expensive and often have little room for growth.",blue chip stock,,,"A stock with solid value, good security, and a record of dividend payments or other desirable investment characteristics with the best market capi- talization in the marketplace. Many times these stocks have a record of consistent dividend payments, receive extensive media coverage, and offer a host of other beneficial investment attributes. This term is derived from poker, where blue chips hold the most value. On the downside, blue-chip stocks tend to be quite expensive and often have little room for growth.",Finance - The Options Course - High Profit And Low Stress Trading Methods
40,board lot The smallest quantity of shares traded on an exchange at standard commission rates.,board lot,,,The smallest quantity of shares traded on an exchange at standard commission rates.,Finance - The Options Course - High Profit And Low Stress Trading Methods
41,"Bollinger bands Specific types of envelopes that use expanding and contract- ing values employed as a lagging indicator. This is accomplished by setting the envelope lines above and below the moving average equal to a value that varies with price. Commonly used settings for Bollinger bands include the 20-period ex- ponential moving average, plus or minus two standard deviations, to create the envelope channels.",Bollinger bands,,,"Specific types of envelopes that use expanding and contract- ing values employed as a lagging indicator. This is accomplished by setting the envelope lines above and below the moving average equal to a value that varies with price. Commonly used settings for Bollinger bands include the 20-period ex- ponential moving average, plus or minus two standard deviations, to create the envelope channels.",Finance - The Options Course - High Profit And Low Stress Trading Methods
42,"bond Financial instruments representing debt obligations issued by the govern- ment or corporations traded in the futures market. A bond promises to pay its holders periodic interest at a fixed rate (the coupon), and to repay the principal of the loan at maturity. Bonds are issued with a par or face value of $1,000 and are traded based on their interest rates—if the bond pays more interest than available elsewhere, its worth increases.",bond,,,"Financial instruments representing debt obligations issued by the govern- ment or corporations traded in the futures market. A bond promises to pay its holders periodic interest at a fixed rate, and to repay the principal of the loan at maturity. Bonds are issued with a par or face value of $1,000 and are traded based on their interest rates—if the bond pays more interest than available elsewhere, its worth increases.",Finance - The Options Course - High Profit And Low Stress Trading Methods
43,break out A rise in the price of an underlying instrument above its resistance level or a drop below the support level.,break out,,,A rise in the price of an underlying instrument above its resistance level or a drop below the support level.,Finance - The Options Course - High Profit And Low Stress Trading Methods
44,"broad-based index An index designed to reflect the movement of the market as a whole (for example, the S&P 100, the S&P 500, and the Amex Major Market Index).",broad based index,,,An index designed to reflect the movement of the market as a whole.,Finance - The Options Course - High Profit And Low Stress Trading Methods
45,broker An individual or firm that charges a commission for executing buy and sell orders.,broker,,,An individual or firm that charges a commission for executing buy and sell orders.,Finance - The Options Course - High Profit And Low Stress Trading Methods
46,bull An investor who believes that a market is rising or is expected to rise.,bull,,,An investor who believes that a market is rising or is expected to rise.,Finance - The Options Course - High Profit And Low Stress Trading Methods
47,bull call spread A strategy in which a trader buys a lower strike call and sells a higher strike call to create a trade with limited profit and limited risk. A rise in the price of the underlying asset increases the value of the spread. Net debit transac- tion; maximum loss = net debit; maximum gain = difference between strike prices less the net debit.,bull call spread,,,A strategy in which a trader buys a lower strike call and sells a higher strike call to create a trade with limited profit and limited risk. A rise in the price of the underlying asset increases the value of the spread. Net debit transac- tion; maximum loss = net debit; maximum gain = difference between strike prices less the net debit.,Finance - The Options Course - High Profit And Low Stress Trading Methods
48,"bull market A rising stock market over a prolonged period of time, usually caused by a strong economy and subsequent increased corporate profits.",bull market,,,"A rising stock market over a prolonged period of time, usually caused by a strong economy and subsequent increased corporate profits.",Finance - The Options Course - High Profit And Low Stress Trading Methods
49,bull put spread A strategy in which a trader sells a higher strike put and buys a lower strike put to create a trade with limited profit and limited risk. A rise in the price of the underlying asset increases the value of the spread. Net credit transac- tion; maximum loss = difference between strike prices less net credit; maximum gain = net credit.,bull put spread,,,A strategy in which a trader sells a higher strike put and buys a lower strike put to create a trade with limited profit and limited risk. A rise in the price of the underlying asset increases the value of the spread. Net credit transac- tion; maximum loss = difference between strike prices less net credit; maximum gain = net credit.,Finance - The Options Course - High Profit And Low Stress Trading Methods
50,"butterfly spread The sale (or purchase) of two identical options, together with the purchase (or sale) of one option with an immediately higher strike, and one option with an immediately lower strike. All options must be the same type, have the same underlying asset, and have the same expiration date.",butterfly spread,,,"The sale of one option with an immediately higher strike, and one option with an immediately lower strike. All options must be the same type, have the same underlying asset, and have the same expiration date.",Finance - The Options Course - High Profit And Low Stress Trading Methods
51,buy on close To buy at the end of a trading session at a price within the closing range.,buy on close,,,To buy at the end of a trading session at a price within the closing range.,Finance - The Options Course - High Profit And Low Stress Trading Methods
52,buy on opening To buy at the beginning of a trading session at a price within the opening range.,buy on opening,,,To buy at the beginning of a trading session at a price within the opening range.,Finance - The Options Course - High Profit And Low Stress Trading Methods
53,"buy stop order An order to purchase a security entered at a price above the cur- rent offering price, triggered when the market hits a specified price.",buy stop order,,,"An order to purchase a security entered at a price above the cur- rent offering price, triggered when the market hits a specified price.",Finance - The Options Course - High Profit And Low Stress Trading Methods
54,CAC 40 Index A broad-based index of 40 common stocks on the Paris Bourse.,CAC 40 Index,,,A broad-based index of 40 common stocks on the Paris Bourse.,Finance - The Options Course - High Profit And Low Stress Trading Methods
55,calendar spread A spread consisting of one long option with a far off expiration month and one short option with 30 to 45 days until expiration. Both options must be the same type and have the same exercise price.,calendar spread,,,A spread consisting of one long option with a far off expiration month and one short option with 30 to 45 days until expiration. Both options must be the same type and have the same exercise price.,Finance - The Options Course - High Profit And Low Stress Trading Methods
56,"call option An option contract which gives the holder the right, but not the oblig- ation, to buy a specified amount of an underlying security at a specified price within a specified time in exchange for paying a premium.",call option,,,"An option contract which gives the holder the right, but not the oblig- ation, to buy a specified amount of an underlying security at a specified price within a specified time in exchange for paying a premium.",Finance - The Options Course - High Profit And Low Stress Trading Methods
57,call premium The amount a call option costs.,call premium,,,The amount a call option costs.,Finance - The Options Course - High Profit And Low Stress Trading Methods
58,"candlestick chart Chart that includes the price range for the day, as well as the opening and closing price. A candlestick bar includes a “body” bounded by the open and close for the period and “shadows” which extend above and below the body to the high and low prices for the period. When the “body” of the candlestick is dark (or red in color charts), the closing price was below the opening. When the body of the candlestick is white (or green in color charts), the closing price was higher than the opening.",candlestick chart,,,"Chart that includes the price range for the day, as well as the opening and closing price. A candlestick bar includes a “body” bounded by the open and close for the period and “shadows” which extend above and below the body to the high and low prices for the period. When the “body” of the candlestick is dark, the closing price was higher than the opening.",Finance - The Options Course - High Profit And Low Stress Trading Methods
59,"cancel (CXL) order An order is used to eliminate a prior order that has not yet been executed. A canceled order must be communicated by a trader to the broker and such an order is not executed or confirmed until the floor broker reports back that the trader is out of the trade. Understand that once an order has been filled, it cannot be canceled, so a CXL order is really only a request to cancel. Therefore, you should not assume an order has been canceled just because you enter a re- quest to do so—wait for the confirmation.",cancel order,,,"An order is used to eliminate a prior order that has not yet been executed. A canceled order must be communicated by a trader to the broker and such an order is not executed or confirmed until the floor broker reports back that the trader is out of the trade. Understand that once an order has been filled, it cannot be canceled, so a CXL order is really only a request to cancel. Therefore, you should not assume an order has been canceled just because you enter a re- quest to do so—wait for the confirmation.",Finance - The Options Course - High Profit And Low Stress Trading Methods
60,capital The amount of money an individual or business has available.,capital,,,The amount of money an individual or business has available.,Finance - The Options Course - High Profit And Low Stress Trading Methods
61,capital gain The profit realized when a capital asset is sold for a higher price than the purchase price.,capital gain,,,The profit realized when a capital asset is sold for a higher price than the purchase price.,Finance - The Options Course - High Profit And Low Stress Trading Methods
62,capitalization Refers to the current value of a corporation's outstanding shares in dollars.,capitalization,,,Refers to the current value of a corporation's outstanding shares in dollars.,Finance - The Options Course - High Profit And Low Stress Trading Methods
63,capital loss The loss incurred when a capital asset is sold for a lower price than the purchase price.,capital loss,,,The loss incurred when a capital asset is sold for a lower price than the purchase price.,Finance - The Options Course - High Profit And Low Stress Trading Methods
64,capped-style option An option with an established profit cap or cap price.,capped style option,,,An option with an established profit cap or cap price.,Finance - The Options Course - High Profit And Low Stress Trading Methods
65,cash account An account in which the customer is required to pay in full for all purchased securities.,cash account,,,An account in which the customer is required to pay in full for all purchased securities.,Finance - The Options Course - High Profit And Low Stress Trading Methods
66,cash dividend A dividend paid in cash to a shareholder out of a corporation's profits.,cash dividend,,,A dividend paid in cash to a shareholder out of a corporation's profits.,Finance - The Options Course - High Profit And Low Stress Trading Methods
67,change The difference between the current price of a security and the price of the previous day.,change,,,The difference between the current price of a security and the price of the previous day.,Finance - The Options Course - High Profit And Low Stress Trading Methods
68,"Chicago Board of Trade (CBOT) Established in 1886, the CBOT is the oldest commodity exchange in the United States and primarily lists grains, Treasury- bonds and notes, metals, and indexes.",Chicago Board of Trade,CBOT,,"Established in 1886, the CBOT is the oldest commodity exchange in the United States and primarily lists grains, Treasury- bonds and notes, metals, and indexes.",Finance - The Options Course - High Profit And Low Stress Trading Methods
69,Chicago Board Options Exchange (CBOE) The largest options exchange in the United States.,Chicago Board Options Exchange,CBOE,,The largest options exchange in the United States.,Finance - The Options Course - High Profit And Low Stress Trading Methods
70,"churning When a registered representative performs excessive trading in a cus- tomer's account to increase commissions. This is deemed illegal by the SEC and exchange rules, since the registered representative is not seeking improved re- turns and does not have the customer's interests in mind.",churning,,,"When a registered representative performs excessive trading in a cus- tomer's account to increase commissions. This is deemed illegal by the SEC and exchange rules, since the registered representative is not seeking improved re- turns and does not have the customer's interests in mind.",Finance - The Options Course - High Profit And Low Stress Trading Methods
71,"class of options Option contracts of the same type (call or put), style, and un- derlying security.",class of options,,,"Option contracts of the same type, style, and un- derlying security.",Finance - The Options Course - High Profit And Low Stress Trading Methods
72,clearinghouse An institution established separately from the exchanges to en- sure timely payment and delivery of securities.,clearinghouse,,,An institution established separately from the exchanges to en- sure timely payment and delivery of securities.,Finance - The Options Course - High Profit And Low Stress Trading Methods
73,close The price of the last transaction for a particular security each day.,close,,,The price of the last transaction for a particular security each day.,Finance - The Options Course - High Profit And Low Stress Trading Methods
74,closing purchase A transaction to eliminate a short position.,closing purchase,,,A transaction to eliminate a short position.,Finance - The Options Course - High Profit And Low Stress Trading Methods
75,closing range The high and low prices recorded during the period designated as the official close.,closing range,,,The high and low prices recorded during the period designated as the official close.,Finance - The Options Course - High Profit And Low Stress Trading Methods
76,closing sale A transaction to eliminate a long position.,closing sale,,,A transaction to eliminate a long position.,Finance - The Options Course - High Profit And Low Stress Trading Methods
77,commission A service charge assessed by a broker and his/her investment com- pany in return for arranging the purchase or sale of a security.,commission,,,A service charge assessed by a broker and his/her investment com- pany in return for arranging the purchase or sale of a security.,Finance - The Options Course - High Profit And Low Stress Trading Methods
78,"commodity Any bulk good traded on an exchange (for example, metals, grains, and meats).",commodity,,,Any bulk good traded on an exchange.,Finance - The Options Course - High Profit And Low Stress Trading Methods
79,Commodity Futures Trading Commission (CFTC) A commission created by the Commodity Futures Trading Commission Act of 1974 to ensure the open and effi- cient operation of the futures markets.,Commodity Futures Trading Commission,CFTC,,A commission created by the Commodity Futures Trading Commission Act of 1974 to ensure the open and effi- cient operation of the futures markets.,Finance - The Options Course - High Profit And Low Stress Trading Methods
80,"condor The sale or purchase of two options with consecutive exercise prices, to- gether with the sale or purchase of one option with an immediately lower exercise price and one option with an immediately higher exercise price.",condor,,,"The sale or purchase of two options with consecutive exercise prices, to- gether with the sale or purchase of one option with an immediately lower exercise price and one option with an immediately higher exercise price.",Finance - The Options Course - High Profit And Low Stress Trading Methods
81,"consolidation pattern A resting period where the price action is in equilibrium. Typically, price action narrows and the volume drops off while investors and traders attempt to get a better sense of the next move, up or down. Visually, a con- solidating market may resemble a triangle or a rectangle.",consolidation pattern,,,"A resting period where the price action is in equilibrium. Typically, price action narrows and the volume drops off while investors and traders attempt to get a better sense of the next move, up or down. Visually, a con- solidating market may resemble a triangle or a rectangle.",Finance - The Options Course - High Profit And Low Stress Trading Methods
82,consumer price index (CPI) A measure of price changes in consumer goods and services. This index is used to identify periods of economic inflation or deflation.,consumer price index,CPI,,A measure of price changes in consumer goods and services. This index is used to identify periods of economic inflation or deflation.,Finance - The Options Course - High Profit And Low Stress Trading Methods
83,"contract A unit of trading for a financial or commodity future, or option.",contract,,,"A unit of trading for a financial or commodity future, or option.",Finance - The Options Course - High Profit And Low Stress Trading Methods
84,contrarian approach Trading against the majority view of the marketplace.,contrarian approach,,,Trading against the majority view of the marketplace.,Finance - The Options Course - High Profit And Low Stress Trading Methods
85,correction A sudden decline in the price of a security or securities after a period of market strength.,correction,,,A sudden decline in the price of a security or securities after a period of market strength.,Finance - The Options Course - High Profit And Low Stress Trading Methods
86,covered call A short call option position against a long position in an underlying stock or future.,covered call,,,A short call option position against a long position in an underlying stock or future.,Finance - The Options Course - High Profit And Low Stress Trading Methods
87,covered put A short put option position against a short position in an underlying stock or future.,covered put,,,A short put option position against a short position in an underlying stock or future.,Finance - The Options Course - High Profit And Low Stress Trading Methods
88,cover the short To buy shares of stock to replenish those borrowed from your brokerage to place a short sale.,cover the short,,,To buy shares of stock to replenish those borrowed from your brokerage to place a short sale.,Finance - The Options Course - High Profit And Low Stress Trading Methods
89,"credit spread The difference in value between two options, where the value of the short position exceeds the value of the long position.",credit spread,,,"The difference in value between two options, where the value of the short position exceeds the value of the long position.",Finance - The Options Course - High Profit And Low Stress Trading Methods
90,cross rate The current exchange rate between differing currencies.,cross rate,,,The current exchange rate between differing currencies.,Finance - The Options Course - High Profit And Low Stress Trading Methods
91,"cycle The tendency for price action to repeat uptrends and downtrends in a relatively predictable fashion over a prescribed period of time. Price cycles are measured low to low, high to high, or low to high. Various types of measure- ments are possible.",cycle,,,"The tendency for price action to repeat uptrends and downtrends in a relatively predictable fashion over a prescribed period of time. Price cycles are measured low to low, high to high, or low to high. Various types of measure- ments are possible.",Finance - The Options Course - High Profit And Low Stress Trading Methods
92,daily range The difference between the high and low price of a security in one trading day.,daily range,,,The difference between the high and low price of a security in one trading day.,Finance - The Options Course - High Profit And Low Stress Trading Methods
93,day order An order to buy or sell a security that expires if not filled by the end of the day.,day order,,,An order to buy or sell a security that expires if not filled by the end of the day.,Finance - The Options Course - High Profit And Low Stress Trading Methods
94,day trade The purchase and sale of a position in the same day.,day trade,,,The purchase and sale of a position in the same day.,Finance - The Options Course - High Profit And Low Stress Trading Methods
95,day trading An approach to trading in which the same position is entered and exited within one day.,day trading,,,An approach to trading in which the same position is entered and exited within one day.,Finance - The Options Course - High Profit And Low Stress Trading Methods
96,"debit spread The difference in value between two options, where the value of the long position exceeds the value of the short position.",debit spread,,,"The difference in value between two options, where the value of the long position exceeds the value of the short position.",Finance - The Options Course - High Profit And Low Stress Trading Methods
97,deep in-the-money A deep in-the-money call option has a strike price well below the current price of the underlying instrument. A deep in-the-money put option,deep in the money,,,A deep in-the-money call option has a strike price well below the current price of the underlying instrument. A deep in-the-money put option,Finance - The Options Course - High Profit And Low Stress Trading Methods
99,delayed-time quotes Quotes from a data service provider that are delayed up to 20 minutes from real-time quotes.,delayed time quotes,,,Quotes from a data service provider that are delayed up to 20 minutes from real-time quotes.,Finance - The Options Course - High Profit And Low Stress Trading Methods
100,delta The amount by which the price (premium) of an option changes for every dollar move in the underlying instrument.,delta,,,The amount by which the price of an option changes for every dollar move in the underlying instrument.,Finance - The Options Course - High Profit And Low Stress Trading Methods
101,delta-hedged An options strategy protecting an option against price changes in the option's underlying instrument by balancing the overall position delta to zero.,delta hedged,,,An options strategy protecting an option against price changes in the option's underlying instrument by balancing the overall position delta to zero.,Finance - The Options Course - High Profit And Low Stress Trading Methods
102,delta neutral A position arranged by selecting a calculated ratio of short and long positions that balance out to an overall position delta of zero.,delta neutral,,,A position arranged by selecting a calculated ratio of short and long positions that balance out to an overall position delta of zero.,Finance - The Options Course - High Profit And Low Stress Trading Methods
103,delta position A measure of option or underlying securities delta.,delta position,,,A measure of option or underlying securities delta.,Finance - The Options Course - High Profit And Low Stress Trading Methods
104,derivative Financial instruments based on the market value of an underlying asset.,derivative,,,Financial instruments based on the market value of an underlying asset.,Finance - The Options Course - High Profit And Low Stress Trading Methods
105,"descending triangle A sideways price pattern with two converging trend lines; the top trend line is declining (resistance), while the bottom trend line is relatively flat (support). This is generally considered a bearish formation, since most of the time it will break out to the downside.",descending triangle,,,"A sideways price pattern with two converging trend lines; the top trend line is declining. This is generally considered a bearish formation, since most of the time it will break out to the downside.",Finance - The Options Course - High Profit And Low Stress Trading Methods
106,"discount brokers Brokerage firms that offer lower commission rates than full-service brokers, but do not offer services such as advice, research, and portfolio planning.",discount brokers,,,"Brokerage firms that offer lower commission rates than full-service brokers, but do not offer services such as advice, research, and portfolio planning.",Finance - The Options Course - High Profit And Low Stress Trading Methods
107,divergence When two or more averages or indexes fail to show confirming trends.,divergence,,,When two or more averages or indexes fail to show confirming trends.,Finance - The Options Course - High Profit And Low Stress Trading Methods
108,dividend A sum of money paid out to a shareholder from the stock's profits.,dividend,,,A sum of money paid out to a shareholder from the stock's profits.,Finance - The Options Course - High Profit And Low Stress Trading Methods
