ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
20,Average Price Call Option An option giving a payoff equal to the greater of zero and the amount by which the average price of the asset exceeds the strike price. ,Average Price Call Option,,,An option giving a payoff equal to the greater of zero and the amount by which the average price of the asset exceeds the strike price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
21,Average Price Put Option An option giving a payoff equal to the greater of zero and the amount by which the strike price exceeds the average price of the asset. ,Average Price Put Option,,,An option giving a payoff equal to the greater of zero and the amount by which the strike price exceeds the average price of the asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
22,Average Strike Option An option that provides a payoff dependent on the difference between the final asset price and the average asset price. ,Average Strike Option,,,An option that provides a payoff dependent on the difference between the final asset price and the average asset price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
23,Backdating Practice (often illegal) of marking a document with a date that precedes the current date. ,Backdating,,,Practice (often illegal) of marking a document with a date that precedes the current date.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
24,Back Testing Testing a value-at-risk or other model using historical data. ,Back Testing,,,Testing a value-at-risk or other model using historical data.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
25,Backwards Induction A procedure for working from the end of a tree to its beginning in order to value an option. ,Backwards Induction,,,A procedure for working from the end of a tree to its beginning in order to value an option.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
26,"Barrier Option An option whose payoff depends on whether the path of the under- lying asset has reached a barrier (i.e., a certain predetermined level). ",Barrier Option,,,"An option whose payoff depends on whether the path of the under- lying asset has reached a barrier (i.e. , a certain predetermined level).","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
27,Base Correlation Correlation that leads to the price of a 0% to X% CDO tranche being consistent with the market for a particular value of X. ,Base Correlation,,,Correlation that leads to the price of a 0 % to X % CDO tranche being consistent with the market for a particular value of X.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
28,Basel Committee Committee responsible for regulation of banks internationally. Basis The difference between the spot price and the futures price of a commodity. ,Basel Committee,,,Committee responsible for regulation of banks internationally. Basis The difference between the spot price and the futures price of a commodity.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
29,"Basis Point When used to describe an interest rate, a basis point is one hundredth of one percent (¼ 0:01%) ",Basis Point,,,"When used to describe an interest rate , a basis point is one hundredth of one percent (¼ 0:01 %)","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
30,Basis Risk The risk to a hedger arising from uncertainty about the basis at a future time. ,Basis Risk,,,The risk to a hedger arising from uncertainty about the basis at a future time.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
31,Basis Swap A swap where cash flows determined by one floating reference rate are exchanged for cash flows determined by another floating reference rate. ,Basis Swap,,,A swap where cash flows determined by one floating reference rate are exchanged for cash flows determined by another floating reference rate.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
32,Basket Credit Default Swap Credit default swap where there are several reference entities. ,Basket Credit Default Swap,,,Credit default swap where there are several reference entities.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
33,Basket Option An option that provides a payoff dependent on the value of a portfolio of assets. ,Basket Option,,,An option that provides a payoff dependent on the value of a portfolio of assets.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
34,Bear Spread A short position in a put option with strike price K1 combined with a long position in a put option with strike price K2 where K2 > K1. (A bear spread can also be created with call options.) ,Bear Spread,,,A short position in a put option with strike price K1 combined with a long position in a put option with strike price K2 where K2 > K1. (A bear spread can also be created with call options.),"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
35,Bermudan Option An option that can be exercised on specified dates during its life. ,Bermudan Option,,,An option that can be exercised on specified dates during its life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
36,Beta A measure of the systematic risk of an asset. ,Beta,,,A measure of the systematic risk of an asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
37,Bid-Ask Spread The amount by which the ask price exceeds the bid price. ,Bid-Ask Spread,,,The amount by which the ask price exceeds the bid price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
38,Bid-Offer Spread See Bid-Ask Spread. ,Bid-Offer Spread,,,See Bid-Ask Spread. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
39,Bid Price The price that a dealer is prepared to pay for an asset. ,Bid Price,,,The price that a dealer is prepared to pay for an asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
40,"Bilateral Clearing Arrangement between two parties to handle transactions in the OTC market, often involving an ISDA Master Agreement. ",Bilateral Clearing,,,"Arrangement between two parties to handle transactions in the OTC market , often involving an ISDA Master Agreement.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
41,Binary Credit Default Swap Instrument where there is a fixed dollar payoff in the event of a default by a particular company. ,Binary Credit Default Swap,,,Instrument where there is a fixed dollar payoff in the event of a default by a particular company.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
42,"Binary Option Option with a discontinuous payoff, e.g., a cash-or-nothing option or an asset-or-nothing option. ",Binary Option,,,"Option with a discontinuous payoff , e.g. , a cash-or-nothing option or an asset-or-nothing option.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
43,Binomial Model A model where the price of an asset is monitored over successive short periods of time. In each short period it is assumed that only two price movements are possible. ,Binomial Model,,,A model where the price of an asset is monitored over successive short periods of time. In each short period it is assumed that only two price movements are possible.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
44,Binomial Tree A tree that represents how an asset price can evolve under the binomial model. ,Binomial Tree,,,A tree that represents how an asset price can evolve under the binomial model.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
45,"Bivariate Normal Distribution A distribution for two correlated variables, each of which is normal. ",Bivariate Normal Distribution,,,"A distribution for two correlated variables , each of which is normal.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
46,Black's Approximation An approximate procedure developed by Fischer Black for valuing a call option on a dividend-paying stock. ,Black 's Approximation,,,An approximate procedure developed by Fischer Black for valuing a call option on a dividend-paying stock.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
47,"Black's Model An extension of the Black-Scholes model for valuing European options on futures contracts. As described in Chapter 26, it is used extensively in practice to value European options when the distribution of the asset price at maturity is assumed to be lognormal. ",Black 's Model,,,"An extension of the Black-Scholes model for valuing European options on futures contracts. As described in Chapter 26 , it is used extensively in practice to value European options when the distribution of the asset price at maturity is assumed to be lognormal.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
48,"Black-Scholes-Merton Model A model for pricing European options on stocks, developed by Fischer Black, Myron Scholes, and Robert Merton. ",Black-Scholes-Merton Model,,,"A model for pricing European options on stocks , developed by Fischer Black , Myron Scholes , and Robert Merton.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
49,Bond Option An option where a bond is the underlying asset. ,Bond Option,,,An option where a bond is the underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
50,"Bond Yield Discount rate which, when applied to all the cash flows of a bond, causes the present value of the cash flows to equal the bond's market price. ",Bond Yield,,,"Discount rate which , when applied to all the cash flows of a bond , causes the present value of the cash flows to equal the bond 's market price.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
51,Bootstrap Method A procedure for calculating the zero-coupon yield curve from market data. It involves using progressively longer maturity instruments. ,Bootstrap Method,,,A procedure for calculating the zero-coupon yield curve from market data. It involves using progressively longer maturity instruments.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
52,Boston Option See Deferred Payment Option. ,Boston Option,,,See Deferred Payment Option. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
53,Box Spread A combination of a bull spread created from calls and a bear spread created from puts. ,Box Spread,,,A combination of a bull spread created from calls and a bear spread created from puts.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
54,Break Forward See Deferred Payment Option. ,Break Forward,,,See Deferred Payment Option. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
55,Brownian Motion See Wiener Process. ,Brownian Motion,,,See Wiener Process. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
56,"Bull Spread A long position in a call with strike price K1 combined with a short position in a call with strike price K2, where K2 > K1. (A bull spread can also be created with put options.) ",Bull Spread,,,"A long position in a call with strike price K1 combined with a short position in a call with strike price K2 , where K2 > K1. (A bull spread can also be created with put options.)","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
57,"Butterfly Spread A position that is created by taking a long position in a call with strike price K1, a long position in a call with strike price K3, and a short position in two calls with strike price K2, where K3 > K2 > K1 and K2 ¼ 0:5ðK1 þK3Þ. (A butterfly spread can also be created with put options.) ",Butterfly Spread,,,"A position that is created by taking a long position in a call with strike price K1 , a long position in a call with strike price K3 , and a short position in two calls with strike price K2 , where K3 > K2 > K1 and K2 ¼ 0:5ðK1 þK3Þ. (A butterfly spread can also be created with put options.)","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
58,Calendar Spread A position that is created by taking a long position in a call option that matures at one time and a short position in a similar call option that matures at a different time. (A calendar spread can also be created using put options.) ,Calendar Spread,,,A position that is created by taking a long position in a call option that matures at one time and a short position in a similar call option that matures at a different time. (A calendar spread can also be created using put options.),"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
59,Calibration Method for implying a model's parameters from the prices of actively traded options. ,Calibration,,,Method for implying a model 's parameters from the prices of actively traded options.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
60,Callable Bond A bond containing provisions that allow the issuer to buy it back at a predetermined price at certain times during its life. ,Callable Bond,,,A bond containing provisions that allow the issuer to buy it back at a predetermined price at certain times during its life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
61,Call Option An option to buy an asset at a certain price by a certain date. ,Call Option,,,An option to buy an asset at a certain price by a certain date.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
62,Cancelable Swap Swap that can be canceled by one side on prespecified dates. ,Cancelable Swap,,,Swap that can be canceled by one side on prespecified dates.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
63,Cap See Interest Rate Cap. ,Cap,,,See Interest Rate Cap. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
64,Cap Rate The rate determining payoffs in an interest rate cap. ,Cap Rate,,,The rate determining payoffs in an interest rate cap.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
65,Capital Asset Pricing Model A model relating the expected return on an asset to its beta. ,Capital Asset Pricing Model,,,A model relating the expected return on an asset to its beta.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
66,Caplet One component of an interest rate cap. ,Caplet,,,One component of an interest rate cap.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
67,Case-Shiller Index Index of house prices in the United States. ,Case-Shiller Index,,,Index of house prices in the United States.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
68,Cash Flow Mapping A procedure for representing an instrument as a portfolio of zero-coupon bonds for the purpose of calculating value at risk. ,Cash Flow Mapping,,,A procedure for representing an instrument as a portfolio of zero-coupon bonds for the purpose of calculating value at risk.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
69,Cash-or-Nothing Call Option An option that provides a fixed predetermined payoff if the final asset price is above the strike price and zero otherwise. ,Cash-or-Nothing Call Option,,,An option that provides a fixed predetermined payoff if the final asset price is above the strike price and zero otherwise.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
70,Cash-or-Nothing Put Option An option that provides a fixed predetermined payoff if the final asset price is below the strike price and zero otherwise. ,Cash-or-Nothing Put Option,,,An option that provides a fixed predetermined payoff if the final asset price is below the strike price and zero otherwise.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
71,Cash Settlement Procedure for settling a futures contract in cash rather than by delivering the underlying asset. ,Cash Settlement,,,Procedure for settling a futures contract in cash rather than by delivering the underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
72,"CAT Bond Bond where the interest and, possibly, the principal paid are reduced if a particular category of ‘‘catastrophic'' insurance claims exceed a certain amount. ",CAT Bond,,,"Bond where the interest and , possibly , the principal paid are reduced if a particular category of ‘ ‘ catastrophic '' insurance claims exceed a certain amount.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
73,CCP See Central Clearing Party. ,CCP,,,See Central Clearing Party. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
74,CDD Cooling degree days. The maximum of zero and the amount by which the daily average temperature is greater than 65 ,CDD,,,Cooling degree days. The maximum of zero and the amount by which the daily average temperature is greater than 65,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
75,"	 Fahrenheit. The average temperature is the ",Fahrenheit.,,,The average temperature is the,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
76,CDO See Collateralized Debt Obligation. ,CDO,,,See Collateralized Debt Obligation. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
77,CDO Squared An instrument in which the default risks in a portfolio of CDO tranches are allocated to new securities. ,CDO Squared,,,An instrument in which the default risks in a portfolio of CDO tranches are allocated to new securities.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
78,CDS See Credit Default Swap. ,CDS,,,See Credit Default Swap. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
79,CDS Spread Basis points that must be paid each year for protection in a CDS. ,CDS Spread,,,Basis points that must be paid each year for protection in a CDS.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
80,CDX NA IG Portfolio of 125 North American companies. ,CDX NA IG,,,Portfolio of 125 North American companies.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
81,CEBO See Credit Event Binary Option. ,CEBO,,,See Credit Event Binary Option. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
82,Central Clearing The use of a clearing house for over-the-counter derivatives. ,Central Clearing,,,The use of a clearing house for over-the-counter derivatives.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
83,Central Counterparty A clearing house for over-the-counter derivatives. ,Central Counterparty,,,A clearing house for over-the-counter derivatives.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
84,Cheapest-to-Deliver Bond The bond that is cheapest to deliver in the CME Group bond futures contract. ,Cheapest-to-Deliver Bond,,,The bond that is cheapest to deliver in the CME Group bond futures contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
85,Cholesky Decomposition A method of sampling from a multivariate normal dis- tribution. ,Cholesky Decomposition,,,A method of sampling from a multivariate normal dis- tribution.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
86,Chooser Option An option where the holder has the right to choose whether it is a call or a put at some point during its life. ,Chooser Option,,,An option where the holder has the right to choose whether it is a call or a put at some point during its life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
87,Class of Options See Option Class. ,,,,Class of Options See Option Class.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
88,Clean Price of Bond The quoted price of a bond. The cash price paid for the bond (or dirty price) is calculated by adding the accrued interest to the clean price. ,Clean Price of Bond,,,The quoted price of a bond. The cash price paid for the bond (or dirty price) is calculated by adding the accrued interest to the clean price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
89,Clearing House A firm that guarantees the performance of the parties in a derivatives transaction (also referred to as a clearing corporation). ,Clearing House,,,A firm that guarantees the performance of the parties in a derivatives transaction (also referred to as a clearing corporation).,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
90,Clearing Margin A margin posted by a member of a clearinghouse. ,Clearing Margin,,,A margin posted by a member of a clearinghouse.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
91,"Cliquet Option A series of call or put options with rules for determining strike prices. Typically, one option starts when the previous one terminates. ",Cliquet Option,,,"A series of call or put options with rules for determining strike prices. Typically , one option starts when the previous one terminates.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
92,Collar See Interest Rate Collar. ,Collar,,,See Interest Rate Collar. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
93,Collateralization A system for posting collateral by one or both parties in a derivatives transaction. ,Collateralization,,,A system for posting collateral by one or both parties in a derivatives transaction.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
94,Collateralized Debt Obligation A way of packaging credit risk. Several classes of securities (known as tranches) are created from a portfolio of bonds and there are ,Collateralized Debt Obligation,,,A way of packaging credit risk. Several classes of securities (known as tranches) are created from a portfolio of bonds and there are,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
95,Collateralized Mortgage Obligation (CMO) A mortgage-backed security where in- vestors are divided into classes and there are rules for determining how principal ,Collateralized Mortgage Obligation,CMO,,A mortgage-backed security where in- vestors are divided into classes and there are rules for determining how principal,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
96,Combination A position involving both calls and puts on the same underlying asset. ,Combination,,,A position involving both calls and puts on the same underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
97,Commodity Futures Trading Commission A body that regulates trading in futures contracts in the United States. ,Commodity Futures Trading Commission,,,A body that regulates trading in futures contracts in the United States.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
98,Commodity Swap A swap where cash flows depend on the price of a commodity. ,Commodity Swap,,,A swap where cash flows depend on the price of a commodity.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
99,Compound Correlation Correlation implied from the market price of a CDO tranche. ,Compound Correlation,,,Correlation implied from the market price of a CDO tranche.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
100,Compound Option An option on an option. ,Compound Option,,,An option on an option.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
101,Compounding Frequency This defines how an interest rate is measured. ,Compounding Frequency,,,This defines how an interest rate is measured.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
102,Compounding Swap Swap where interest compounds instead of being paid. ,Compounding Swap,,,Swap where interest compounds instead of being paid.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
103,Conditional Value at Risk (C-VaR) Expected loss during N days conditional on being in the ð100XÞ% tail of the distribution of profits/losses. The variable N is the time horizon and X% is the confidence level. ,Conditional Value at Risk,C-VaR,,Expected loss during N days conditional on being in the ð100XÞ % tail of the distribution of profits/losses. The variable N is the time horizon and X % is the confidence level.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
104,Confirmation Contract confirming verbal agreement between two parties to a trade in the over-the-counter market. ,Confirmation,,,Contract confirming verbal agreement between two parties to a trade in the over-the-counter market.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
105,Constant Elasticity of Variance (CEV) Model Model where the variance of the change in a variable in a short period of time is proportional to the value of the variable. ,Constant Elasticity of Variance Model ,CEV,,Model where the variance of the change in a variable in a short period of time is proportional to the value of the variable.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
106,Constant Maturity Swap (CMS) A swap where a swap rate is exchanged for either a fixed rate or a floating rate on each payment date. ,Constant Maturity Swap,CMS,,A swap where a swap rate is exchanged for either a fixed rate or a floating rate on each payment date.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
107,Constant Maturity Treasury Swap A swap where the yield on a Treasury bond is exchanged for either a fixed rate or a floating rate on each payment date. ,Constant Maturity Treasury Swap,,,A swap where the yield on a Treasury bond is exchanged for either a fixed rate or a floating rate on each payment date.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
108,Consumption Asset An asset held for consumption rather than investment. ,Consumption Asset,,,An asset held for consumption rather than investment.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
109,Contango A situation where the futures price is above the expected future spot price (also often used to refer to the situation where the futures price is above the current ,Contango,,,A situation where the futures price is above the expected future spot price (also often used to refer to the situation where the futures price is above the current,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
110,Continuous Compounding A way of quoting interest rates. It is the limit as the assumed compounding interval is made smaller and smaller. ,Continuous Compounding,,,A way of quoting interest rates. It is the limit as the assumed compounding interval is made smaller and smaller.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
111,Control Variate Technique A technique that can sometimes be used for improving the accuracy of a numerical procedure. ,Control Variate Technique,,,A technique that can sometimes be used for improving the accuracy of a numerical procedure.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
112,Convenience Yield A measure of the benefits from ownership of an asset that are not obtained by the holder of a long futures contract on the asset. ,Convenience Yield,,,A measure of the benefits from ownership of an asset that are not obtained by the holder of a long futures contract on the asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
113,Conversion Factor A factor used to determine the number of bonds that must be delivered in the CME Group bond futures contract. ,Conversion Factor,,,A factor used to determine the number of bonds that must be delivered in the CME Group bond futures contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
114,Convertible Bond A corporate bond that can be converted into a predetermined amount of the company's equity at certain times during its life. ,Convertible Bond,,,A corporate bond that can be converted into a predetermined amount of the company 's equity at certain times during its life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
115,Convexity A measure of the curvature in the relationship between bond prices and bond yields. ,Convexity,,,A measure of the curvature in the relationship between bond prices and bond yields.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
116,"Convexity Adjustment An overworked term. For example, it can refer to the adjust- ment necessary to convert a futures interest rate to a forward interest rate. It can also ",Convexity Adjustment,,,"An overworked term. For example , it can refer to the adjust- ment necessary to convert a futures interest rate to a forward interest rate. It can also","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
117,Copula A way of defining the correlation between variables with known distributions. ,Copula,,,A way of defining the correlation between variables with known distributions.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
118,Cornish-Fisher Expansion An approximate relationship between the fractiles of a probability distribution and its moments. ,Cornish-Fisher Expansion,,,An approximate relationship between the fractiles of a probability distribution and its moments.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
119,Cost of Carry The storage costs plus the cost of financing an asset minus the income earned on the asset. ,Cost of Carry ,,,The storage costs plus the cost of financing an asset minus the income earned on the asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
120,Counterparty The opposite side in a financial transaction. ,Counterparty,,,The opposite side in a financial transaction.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
121,Coupon Interest payment made on a bond. ,Coupon,,,Interest payment made on a bond.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
122,Covariance Measure of the linear relationship between two variables (equals the correlation between the variables times the product of their standard deviations). ,Covariance,,,Measure of the linear relationship between two variables (equals the correlation between the variables times the product of their standard deviations).,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
123,Covariance Matrix See Variance-Covariance Matrix. ,Covariance Matrix,,,See Variance-Covariance Matrix. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
124,Covered Call A short position in a call option on an asset combined with a long position in the asset. ,Covered Call,,,A short position in a call option on an asset combined with a long position in the asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
125,Crashophobia Fear of a stock market crash that some people claim causes the market to increase the price of deep-out-of-the-money put options. ,Crashophobia,,,Fear of a stock market crash that some people claim causes the market to increase the price of deep-out-of-the-money put options.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
