ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
12,"Book value. An asset's original cost, less any depreciation that has been subse-quently incurred.",Book value,,,"An asset's original cost, less any depreciation that has been subse-quently incurred.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
13,Bottleneck. An operation in the midst of a manufacturing or service process inwhich the required production level matches or exceeds the actual capacity.,Bottleneck,,,An operation in the midst of a manufacturing or service process inwhich the required production level matches or exceeds the actual capacity.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
14,"Break-even point. Sales level at which a company, division, or product linemakes a profit of exactly zero; it is computed by dividing all fixed costs by theaverage gross margin percentage.",Break even point,,,"Sales level at which a company, division, or product linemakes a profit of exactly zero; it is computed by dividing all fixed costs by theaverage gross margin percentage.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
15,"Capital. Investment by a company's owners in a business, plus the impact ofany accumulated gains or losses.",Capital,,,"Investment by a company's owners in a business, plus the impact ofany accumulated gains or losses.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
16,"Capital asset. A fixed asset, something that is expected to have long-term usewithin a company, and which exceeds a minimum dollar amount (known as thecapitalization limit, or cap limit).",Capital asset,,,"A fixed asset, something that is expected to have long-term usewithin a company, and which exceeds a minimum dollar amount (known as thecapitalization limit, or cap limit).",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
17,"Capital lease. Lease in which the leasee obtains some ownership rights over theasset involved in the transaction, resulting in the recording of the asset as com-pany property on its general ledger.",Capital lease,,,"Lease in which the leasee obtains some ownership rights over theasset involved in the transaction, resulting in the recording of the asset as com-pany property on its general ledger.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
18,Capitalize. Purchase that has been recorded on the company books as an asset.The grounds for capitalizing an item include a purchase price that is higher thana minimum limit (known as the capitalization limit) and an estimated lifetimefor the item that will exceed one year.,Capitalize,,,Purchase that has been recorded on the company books as an asset.The grounds for capitalizing an item include a purchase price that is higher thana minimum limit (known as the capitalization limit) and an estimated lifetimefor the item that will exceed one year.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
19,"Contribution margin. Margin that results when variable production costs aresubtracted from revenue. It is most useful for making incremental pricing de-cisions where a company must cover its variable costs, though perhaps not allof its fixed costs.",Contribution margin,,,"Margin that results when variable production costs aresubtracted from revenue. It is most useful for making incremental pricing de-cisions where a company must cover its variable costs, though perhaps not allof its fixed costs.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
20,"Cost. Expense incurred to create and sell a product or service. If a product is notsold, then it is recorded as an asset, whereas the sale of a product or service willresult in the recording of all related costs as an expense.",Cost,,,"Expense incurred to create and sell a product or service. If a product is notsold, then it is recorded as an asset, whereas the sale of a product or service willresult in the recording of all related costs as an expense.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
21,"Cost of capital. Blended cost of company's currently outstanding debt instru-ments and equity, weighted by the comparative proportions of each one. Dur-ing a capital budgeting review, the expected return from a capital purchasemust exceed this cost of capital, or else a company will experience a net loss onthe transaction.",Cost of capital,,,"Blended cost of company's currently outstanding debt instru-ments and equity, weighted by the comparative proportions of each one. Dur-ing a capital budgeting review, the expected return from a capital purchasemust exceed this cost of capital, or else a company will experience a net loss onthe transaction.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
22,"Cost of goods sold. Accumulated total of all costs used to create a product orservice, which is then sold. These costs fall into the general subcategories of di-rect labor, materials, and overhead.",Cost of goods sold,,,"Accumulated total of all costs used to create a product orservice, which is then sold. These costs fall into the general subcategories of di-rect labor, materials, and overhead.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
23,"Current asset. Typically the cash, accounts receivable, and inventory accountson the balance sheet, or any other assets that are expected to be liquidatedwithin a short time interval.",Current asset,,,"Typically the cash, accounts receivable, and inventory accountson the balance sheet, or any other assets that are expected to be liquidatedwithin a short time interval.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
24,"Current cost. Under target costing concepts, the cost that would be applied toa new product design if no additional steps were taken to reduce costs, such asthrough value engineering or kaizen costing. Under traditional costing con-cepts, this is the cost of manufacturing a product with work methods, materi-als, and specifications currently in use.",Current cost,,,"Under target costing concepts, the cost that would be applied toa new product design if no additional steps were taken to reduce costs, such asthrough value engineering or kaizen costing. Under traditional costing con-cepts, this is the cost of manufacturing a product with work methods, materi-als, and specifications currently in use.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
25,"Current liability. Typically the accounts payable, short-term notes payable,and accrued expenses accounts on the balance sheet, or any other liabilities thatare expected to be liquidated within a short time interval.",Current liability,,,"Typically the accounts payable, short-term notes payable,and accrued expenses accounts on the balance sheet, or any other liabilities thatare expected to be liquidated within a short time interval.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
26,Debt. Funds owed to another entity.Deficit. Negative balance in the retained earnings account that is caused by cu-,Debt,,,Funds owed to another entity.Deficit. Negative balance in the retained earnings account that is caused by cu-,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
27,"Depreciation. Refers to both the decline in value of an asset over time, as wellas the gradual expensing of an asset over time, roughly in accordance with itslevel of usage or decline in value through that period.",Depreciation,,,"Refers to both the decline in value of an asset over time, as wellas the gradual expensing of an asset over time, roughly in accordance with itslevel of usage or decline in value through that period.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
28,Direct cost. Costs that can be clearly associated with specific activities or prod-ucts.,Direct cost,,,Costs that can be clearly associated with specific activities or prod-ucts.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
29,"Direct labor. Labor that is specifically incurred to create a product.Direct materials cost. Cost of all materials used in a cost object, such as fin-",Direct labor,,,"Labor that is specifically incurred to create a product.Direct materials cost. Cost of all materials used in a cost object, such as fin-",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
30,Dividend. Payment made to shareholders that is proportional to the number ofshares owned. It is authorized by the board of directors.,Dividend,,,Payment made to shareholders that is proportional to the number ofshares owned. It is authorized by the board of directors.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
31,Equity. Difference between the total of all recorded assets and liabilities on thebalance sheet.,Equity,,,Difference between the total of all recorded assets and liabilities on thebalance sheet.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
32,Expenditure. Payment or the incurrence of a liability by an entity.Expense. Represents the reduction in value of an asset as it is used for current,Expenditure,,,Payment or the incurrence of a liability by an entity.Expense. Represents the reduction in value of an asset as it is used for current,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
33,"Extraordinary item. Transaction that rarely occurs and is unusual, such as ex-propriation of company property by a foreign government. It is reported as aseparate line item on the income statement.",Extraordinary item,,,"Transaction that rarely occurs and is unusual, such as ex-propriation of company property by a foreign government. It is reported as aseparate line item on the income statement.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
34,"Factory overhead. All the costs incurred during the manufacturing process,minus the costs of direct labor and materials.",Factory overhead,,,"All the costs incurred during the manufacturing process,minus the costs of direct labor and materials.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
35,Fair market value. Price that an asset or service will fetch on the open market.Finished goods inventory. Goods that have been completed by the manufac-,Fair market value,,,Price that an asset or service will fetch on the open market.Finished goods inventory. Goods that have been completed by the manufac-,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
36,"Fixed asset. Item with a longevity greater than one year, and which exceeds acompany's minimum capitalization limit. It is not purchased with the intent ofimmediate resale, but rather for productive use within a company.",Fixed asset,,,"Item with a longevity greater than one year, and which exceeds acompany's minimum capitalization limit. It is not purchased with the intent ofimmediate resale, but rather for productive use within a company.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
37,"Fixed cost. Cost that does not vary in the short run, irrespective of changes inany cost drivers. For example, the rent on a building will not change until thelease runs out or is renegotiated, irrespective of the level of business activitywithin that building.",Fixed cost,,,"Cost that does not vary in the short run, irrespective of changes inany cost drivers. For example, the rent on a building will not change until thelease runs out or is renegotiated, irrespective of the level of business activitywithin that building.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
38,Fixed overhead. Portion of total overhead costs that remain constant in size ir-respective of changes in activity within a certain range.,Fixed overhead,,,Portion of total overhead costs that remain constant in size ir-respective of changes in activity within a certain range.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
39,"Gain. Profit earned on sale of an asset, computed by subtracting its book valuefrom the revenue received from its sale.",Gain,,,"Profit earned on sale of an asset, computed by subtracting its book valuefrom the revenue received from its sale.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
40,Goodwill. Excess of the price paid to buy another company over the book valueof its assets and the increase in cost of its fixed assets to fair market value.,Goodwill,,,Excess of the price paid to buy another company over the book valueof its assets and the increase in cost of its fixed assets to fair market value.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
41,Gross margin. Revenues less the cost of goods sold.Gross sales. Total sales recorded prior to sales discounts and returns.Income. Net earnings after all expenses for an accounting period are subtracted,Gross margin,,,Revenues less the cost of goods sold.Gross sales. Total sales recorded prior to sales discounts and returns.Income. Net earnings after all expenses for an accounting period are subtracted,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
42,"Income statement. Financial report that summarizes a company's revenue, costof goods sold, gross margin, other costs, income, and tax obligations.",Income statement,,,"Financial report that summarizes a company's revenue, costof goods sold, gross margin, other costs, income, and tax obligations.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
43,Income tax. A government tax on the income earned by an individual or cor-poration.,Income tax,,,A government tax on the income earned by an individual or cor-poration.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
44,"Indirect cost. Cost that is not directly associated with a single activity or event.Such costs are frequently clumped into an overhead pool and allocated to var-ious activities, based on an allocation method that has a perceived or actuallinkage between the indirect cost and the activity.",Indirect cost,,,"Cost that is not directly associated with a single activity or event.Such costs are frequently clumped into an overhead pool and allocated to var-ious activities, based on an allocation method that has a perceived or actuallinkage between the indirect cost and the activity.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
45,Indirect labor. Cost of any labor that supports the production process but notdirectly involved in the active conversion of materials into finished products.,Indirect labor,,,Cost of any labor that supports the production process but notdirectly involved in the active conversion of materials into finished products.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
46,"Intangible asset. This is a nonphysical asset with a life greater than one year.Examples are goodwill, patents, trademarks, and copyrights.",Intangible asset,,,"This is a nonphysical asset with a life greater than one year.Examples are goodwill, patents, trademarks, and copyrights.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
47,Interest. Cost of funds loaned to an entity. It can also refer to the equity owner-ship of an investor in a business entity.,Interest,,,Cost of funds loaned to an entity. It can also refer to the equity owner-ship of an investor in a business entity.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
48,Leasehold improvement. Any upgrade to leased property by a leasee that willbe usable for more than one year and exceeds the lessee's capitalization limit.It is recorded as a fixed asset and depreciated over a period no longer than thelife of the underlying lease.,Leasehold improvement,,,Any upgrade to leased property by a leasee that willbe usable for more than one year and exceeds the lessee's capitalization limit.It is recorded as a fixed asset and depreciated over a period no longer than thelife of the underlying lease.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
49,Liability. Dollar amount of obligation payable to another entity.Long-term debt. Debt for which payments will be required for a period of more,Liability,,,Dollar amount of obligation payable to another entity.Long-term debt. Debt for which payments will be required for a period of more,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
50,"Loss. Excess of expenses over revenues, either for a single business transactionor in reference to the sum of all transactions for an accounting period.",Loss,,,"Excess of expenses over revenues, either for a single business transactionor in reference to the sum of all transactions for an accounting period.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
51,Market value. Price at which a product or service could be sold on the openmarket.,Market value,,,Price at which a product or service could be sold on the openmarket.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
52,"Marketable security. Easily traded investment, such as treasury bills, which isrecorded as a current asset, since it is easily convertible into cash.",Marketable security,,,"Easily traded investment, such as treasury bills, which isrecorded as a current asset, since it is easily convertible into cash.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
53,Negative goodwill. A situation when a business combination results in the fairmarket value of all assets purchased exceeds the purchase price.,Negative goodwill,,,A situation when a business combination results in the fairmarket value of all assets purchased exceeds the purchase price.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
54,"Net income. Excess of revenues over expenses, including the impact of incometaxes.",Net income,,,"Excess of revenues over expenses, including the impact of incometaxes.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
55,"Net realizeable value. Expected revenue to be gained from the sale of an itemor service, less the costs of the sale transaction.",Net realizeable value,,,"Expected revenue to be gained from the sale of an itemor service, less the costs of the sale transaction.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
56,"Net sales. Total revenue, less the cost of sales returns, allowances, and dis-counts.",Net sales,,,"Total revenue, less the cost of sales returns, allowances, and dis-counts.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
57,"Obsolescence. Reduction in utility of an inventory item or fixed asset. If it is aninventory item, then a reserve is created to reduce the value of the inventory bythe estimated amount of obsolescence. If it is a fixed asset, the depreciationmethod and timing will be set to approximate the rate and amount of obsoles-cence.",Obsolescence,,,"Reduction in utility of an inventory item or fixed asset. If it is aninventory item, then a reserve is created to reduce the value of the inventory bythe estimated amount of obsolescence. If it is a fixed asset, the depreciationmethod and timing will be set to approximate the rate and amount of obsoles-cence.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
58,"Operating expense. Any expense associated with the general, sales, and ad-ministrative functions of a business.",Operating expense,,,"Any expense associated with the general, sales, and ad-ministrative functions of a business.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
59,"Operating income. Net income of a business, less the impact of any financialactivity, such as interest expense or investment income, as well as taxes and ex-traordinary items.",Operating income,,,"Net income of a business, less the impact of any financialactivity, such as interest expense or investment income, as well as taxes and ex-traordinary items.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
60,"Other assets. Cluster of accounts that are listed after fixed assets on the balancesheet, and which contain minor assets that cannot be reasonably fit into any ofthe other main asset categories.",Other assets,,,"Cluster of accounts that are listed after fixed assets on the balancesheet, and which contain minor assets that cannot be reasonably fit into any ofthe other main asset categories.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
61,Owners' equity. Total of all capital contributions and retained earnings on abusiness's balance sheet.,Owners' equity,,,Total of all capital contributions and retained earnings on abusiness's balance sheet.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
62,Paid-in capital. Any payment received from investors for stock that exceeds thepar value of the stock.,Paid in capital,,,Any payment received from investors for stock that exceeds thepar value of the stock.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
63,"Par value. Stated value of a stock, which is recorded in the capital stock ac-count. Equity distributions cannot drop the value of stock below this minimumamount.",Par value,,,"Stated value of a stock, which is recorded in the capital stock ac-count. Equity distributions cannot drop the value of stock below this minimumamount.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
64,"Preferred stock. Type of stock that usually pays a fixed dividend prior to anydistributions to the holders of common stock. In the event of liquidation, it mustbe paid off before common stock. It can, but rarely does, have voting rights.",Preferred stock,,,"Type of stock that usually pays a fixed dividend prior to anydistributions to the holders of common stock. In the event of liquidation, it mustbe paid off before common stock. It can, but rarely does, have voting rights.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
65,"Prepaid expense. Expenditure that is paid for in one accounting period but notbe entirely consumed until a future period. Consequently, it is carried on thebalance sheet as an asset until it is consumed.",Prepaid expense,,,"Expenditure that is paid for in one accounting period but notbe entirely consumed until a future period. Consequently, it is carried on thebalance sheet as an asset until it is consumed.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
66,"Product cost. Total of all costs assigned to a product, typically including directlabor, materials (with normal spoilage included), and overhead.",Product cost,,,"Total of all costs assigned to a product, typically including directlabor, materials (with normal spoilage included), and overhead.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
67,"Property, plant, and equipment. Comprises of all types of fixed assetsrecorded on the balance sheet and is intended to reveal the sum total of all tan-gible, long-term assets used to conduct business.",Property plant and equipment,,,"Comprises of all types of fixed assetsrecorded on the balance sheet and is intended to reveal the sum total of all tan-gible, long-term assets used to conduct business.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
68,"Quick asset. Any asset that can be converted into cash on short notice. This isa subset of a current asset, because it does not include inventory. Its most com-",Quick asset,,,"Any asset that can be converted into cash on short notice. This isa subset of a current asset, because it does not include inventory. Its most com-",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
69,Raw materials inventory. Total cost of all component parts currently in stockthat have not yet been used in work-in-process or finished goods production.,Raw materials inventory,,,Total cost of all component parts currently in stockthat have not yet been used in work-in-process or finished goods production.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
70,"Retained earnings. A company's accumulated earnings since its inception, lessany distributions to shareholders.",Retained earnings,,,"A company's accumulated earnings since its inception, lessany distributions to shareholders.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
71,"Revenue. Inflow of cash, accounts receivable, or barter from a customer in ex-change for the provision of a service or product to that customer by a company.",Revenue,,,"Inflow of cash, accounts receivable, or barter from a customer in ex-change for the provision of a service or product to that customer by a company.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
72,Rework. Product that does not meet a company's minimum quality standardsand is then repaired in order to meet those standards.,Rework,,,Product that does not meet a company's minimum quality standardsand is then repaired in order to meet those standards.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
73,"Sales allowance. Reduction in a price that is allowed by the seller, because of aproblem with the sold product or service.",Sales allowance,,,"Reduction in a price that is allowed by the seller, because of aproblem with the sold product or service.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
74,Sales discount. Reduction in the price of a product or service that is offered bythe seller in exchange for early payment by the buyer.,Sales discount,,,Reduction in the price of a product or service that is offered bythe seller in exchange for early payment by the buyer.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
75,Salvage value. Expected revenue to be garnered from the sale of a fixed asset atthe end of its useful life.,Salvage value,,,Expected revenue to be garnered from the sale of a fixed asset atthe end of its useful life.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
76,Scrap. Excess unusable material that is left over after a product has been man-ufactured.,Scrap,,,Excess unusable material that is left over after a product has been man-ufactured.,Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
77,"Share. Minimum unit of ownership in a corporation.Statement of cash flows. Part of the financial statements, summarizing an en-",Share,,,"Minimum unit of ownership in a corporation.Statement of cash flows. Part of the financial statements, summarizing an en-",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
78,"Statement of retained earnings. Adjunct to the balance sheet, providing moredetailed information about the beginning balance, changes, and ending bal-ance in the retained earnings account during the reporting period.",Statement of retained earnings,,,"Adjunct to the balance sheet, providing moredetailed information about the beginning balance, changes, and ending bal-ance in the retained earnings account during the reporting period.",Finance Analysis - Business Ratios And Formulas - A Comprehensive Guide - S M Bragg (John Wiley _ Sons) - 2007 [0470055170]
